$ LOWER MONUMENTAL-POOLELEV.npt based on $//LOWER MONUMENTAL-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42070,165.332
42071,165.35
42072,165.044
42073,165.086
42074,165.135
42075,165.177
42076,165.263
42077,165.317
42078,165.18
42079,165.235
42080,165.22
42081,165.177
42082,165.278
42083,165.369
42084,165.311
42085,165.384
42086,165.418
42087,165.311
42088,165.308
42089,165.357
42090,165.467
42091,165.406
42092,165.366
42093,165.202
42094,165.372
42095,165.421
42096,165.256
42097,165.089
42098,164.939
42099,164.866
42100,164.845
42101,164.802
42102,164.778
42103,164.839
42104,164.805
42105,164.836
42106,164.83
42107,164.891
42108,164.903
42109,164.818
42110,164.872
42111,164.805
42112,164.808
42113,164.891
42114,164.885
42115,164.875
42116,164.885
42117,164.836
42118,164.897
42119,164.845
42120,164.836
42121,164.827
42122,164.842
42123,164.842
42124,164.842
42125,164.836
42126,164.836
42127,164.802
42128,164.863
42129,164.833
42130,164.818
42131,164.851
42132,164.802
42133,164.821
42134,164.802
42135,164.851
42136,164.83
42137,164.808
42138,164.76
42139,164.827
42140,164.833
42141,164.845
42142,164.824
42143,164.857
42144,164.83
42145,164.842
42146,164.851
42147,164.83
42148,164.833
42149,164.854
42150,164.827
42151,164.79
42152,164.879
42153,164.811
42154,164.815
42155,164.808
42156,164.83
42157,164.857
42158,164.854
42159,164.793
42160,164.842
42161,164.802
42162,164.793
42163,164.808
42164,164.802
42165,164.83
42166,164.818
42167,164.836
42168,164.805
42169,164.799
42170,164.863
42171,164.854
42172,164.866
42173,164.851
42174,164.805
42175,164.781
42176,164.848
42177,164.793
42178,164.83
42179,164.784
42180,164.808
42181,164.796
42182,164.815
42183,164.821
42184,164.799
42185,164.775
42186,164.839
42187,164.827
42188,164.83
42189,164.811
42190,164.769
42191,164.741
42192,164.83
42193,164.805
42194,164.821
42195,164.775
42196,164.839
42197,164.854
42198,164.793
42199,164.808
42200,164.821
42201,164.808
42202,164.793
42203,164.821
42204,164.827
42205,164.857
42206,164.842
42207,164.76
42208,164.848
42209,164.863
42210,164.827
42211,164.802
42212,164.851
42213,164.79
42214,164.799
42215,164.827
42216,164.808
42217,164.815
42218,164.796
42219,164.784
42220,164.766
42221,164.778
42222,164.735
42223,164.818
42224,164.821
42225,164.763
42226,164.815
42227,164.766
42228,164.775
42229,164.79
42230,164.879
42231,164.833
42232,164.842
42233,164.805
42234,164.885
42235,164.83
42236,164.778
42237,164.75
42238,164.866
42239,164.802
42240,164.787
42241,164.772
42242,164.879
42243,164.848
42244,164.821
42245,164.86
42246,164.885
42247,164.9
42248,164.854
42249,164.854
42250,164.845
42251,164.808
42252,164.802
42253,164.915
42254,165.141
42255,165.32
42256,165.305
42257,165.29
42258,165.25
42259,165.211
42260,165.189
42261,165.214
42262,165.214
42263,165.211
42264,165.22
42265,165.217
42266,165.077
42267,164.903
42268,164.821
42269,164.848
42270,164.946
42271,165.162
42272,165.202
42273,165.266
42274,165.372
42275,165.388
42276,165.391
42277,165.354
42278,165.357
42279,165.305
42280,165.287
42281,165.284
42282,165.317
42283,165.357
42284,165.388
42285,165.293
42286,165.305
42287,165.29
42288,165.253
42289,165.223
42290,165.253
42291,165.348
42292,165.384
42293,165.366
42294,165.314
42295,165.327
42296,165.336
42297,165.375
42298,165.433
42299,165.381
42300,165.33
42301,165.336
42302,165.342
42303,165.314
42304,165.281
42305,165.293
42306,165.275
42307,165.281
42308,165.296
42309,165.348
42310,165.418
42311,165.187
42312,165.242
42313,165.288
42314,165.331
42315,165.254
42316,165.218
42317,165.214
42318,165.255
42319,165.303
42320,165.352
42321,165.389
42322,165.309
42323,165.323
42324,165.347
42325,165.368
42326,165.363
42327,165.337
42328,165.374
42329,165.34
42330,165.301
42331,165.349
42332,165.374
42333,165.364
42334,165.389
42335,165.361
42336,165.375
42337,165.355
42338,165.409
42339,165.272
42340,165.152
42341,165.126
42342,165.213
42343,165.243
42344,165.265
42345,165.295
42346,165.264
42347,165.306
42348,165.332
42349,165.385
42350,165.384
42351,165.311
42352,165.264
42353,165.242
42354,165.279
42355,165.339
42356,165.339
42357,165.274
42358,165.353
42359,165.305
42360,165.337
42361,165.348
42362,165.304
42363,165.331
42364,165.33
42365,165.318
42366,165.303
42367,165.381
42368,165.37
42369,165.393
42370,165.32
