$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
41303.00,974.45
41304.00,976.67
41305.00,976.66
41306.00,976.63
41307.00,973.95
41308.00,973.90
41309.00,973.90
41310.00,973.90
41311.00,973.90
41312.00,973.90
41313.00,973.90
41314.00,973.90
41315.00,973.90
41316.00,973.90
41317.00,973.90
41318.00,973.90
41319.00,973.90
41320.00,973.90
41321.00,973.90
41322.00,973.90
41323.00,973.90
41324.00,973.90
41325.00,973.90
41326.00,973.90
41327.00,973.90
41328.00,973.90
41329.00,973.90
41330.00,973.90
41331.00,973.90
41332.00,973.90
41333.00,973.90
41334.00,973.90
41335.00,973.90
41336.00,973.90
41337.00,973.90
41338.00,973.90
41339.00,973.97
41340.00,974.00
41341.00,974.00
41342.00,973.90
41343.00,973.90
41343.96,973.90
41344.00,973.90
41344.96,973.90
41345.00,973.90
41345.96,973.90
41346.00,973.90
41346.96,973.90
41347.00,973.90
41347.96,973.90
41348.00,973.90
41348.96,973.90
41349.00,973.90
41349.96,973.90
41350.00,973.90
41350.96,973.90
41351.00,973.90
41351.96,973.90
41352.00,973.90
41352.96,973.90
41353.00,973.90
41353.96,973.90
41354.00,973.90
41354.96,973.90
41355.00,973.90
41355.96,973.90
41356.00,973.90
41356.96,973.90
41357.00,973.90
41357.96,973.90
41358.00,973.90
41358.96,973.90
41359.00,973.90
41359.96,973.90
41360.00,973.90
41360.96,973.90
41361.00,973.90
41361.96,973.90
41362.00,973.90
41362.96,973.90
41363.00,973.90
41363.96,973.90
41364.00,973.90
41364.96,975.73
41365.00,975.73
41365.96,980.03
41366.00,980.03
41366.96,981.30
41367.00,981.30
41367.96,981.30
41368.00,981.30
41368.96,981.30
41369.00,981.30
41369.96,981.30
41370.00,981.30
41370.96,981.32
41371.00,981.32
41371.96,981.35
41372.00,981.35
41372.96,981.35
41373.00,981.35
41373.96,981.35
41374.00,981.35
41374.96,981.35
41375.00,981.35
41375.96,981.35
41376.00,981.35
41376.96,981.35
41377.00,981.35
41377.96,981.35
41378.00,981.35
41378.96,981.35
41379.00,981.35
41379.96,981.30
41380.00,981.30
41380.96,981.30
41381.00,981.30
41381.96,981.30
41382.00,981.30
41382.96,981.30
41383.00,981.30
41383.96,981.30
41384.00,981.30
41384.96,981.30
