$ DWR N2 - Assuming % saturation and wtemp at DWQI,,
See 'DWR-estimateTDG-BC.xlsm.',,
JDAY,N2,O2
19.000000,18.15746118,11.24073337
19.041670,18.13779283,11.22877118
19.083330,18.1241449,11.21681203
19.125000,18.09499578,11.192868
19.166670,18.07823593,11.1809128
19.208330,18.06527738,11.16895346
19.250000,18.08798675,11.18578673
19.291670,18.09349697,11.18581126
19.333330,18.06081123,11.16180606
19.375000,18.04091393,11.14980953
19.416670,18.04240374,11.14983398
19.458330,18.04267791,11.14985537
19.500000,18.02431119,11.13315751
19.541670,18.04613228,11.14516393
19.583330,18.02070668,11.13319514
19.625000,18.00328475,11.12123343
19.666670,17.96324877,11.0972835
19.708330,17.95917634,11.0972977
19.750000,17.93962297,11.08533282
19.791670,17.93926594,11.08534801
19.833330,17.94137133,11.0853632
19.875000,17.94132706,11.08537434
19.916670,17.9734666,11.11400349
19.958330,17.94147606,11.08998639
20.000000,17.94788212,11.0900026
20.041670,19.99042602,12.35161358
20.083330,20.26334128,12.51984108
20.125000,20.22303441,12.49581981
20.166670,20.26149285,12.51986739
20.208330,20.28142591,12.53189979
20.250000,20.22498725,12.49586547
20.291670,20.24232321,12.50790015
20.333330,20.2816296,12.53194444
20.375000,20.24250087,12.50792872
20.416670,20.2765014,12.53197535
20.458330,20.26901633,12.53198909
20.500000,20.24195016,12.51172823
20.541670,20.23614137,12.51173509
20.583330,20.27633946,12.53570736
20.625000,20.25491395,12.52373667
20.666670,20.27357163,12.53571996
20.708330,20.25548221,12.52374239
20.750000,20.23238552,12.51176023
20.791670,20.21261208,12.49978607
20.833330,20.21180382,12.49979634
20.875000,20.21073066,12.49980091
20.916670,20.22945468,12.51179567
20.958330,20.22828079,12.51180024
21.000000,20.1894595,12.4878404
21.041670,20.21094392,12.49982946
21.083330,20.17044393,12.47586958
21.125000,20.20930461,12.49985344
21.166670,20.20511747,12.49986486
21.208330,20.1839143,12.48788717
21.250000,20.20106756,12.49987856
21.291670,20.19927178,12.49988656
21.333330,20.19597501,12.49989798
21.375000,20.19363253,12.4999014
21.416670,20.23141981,12.52388083
21.458330,20.22147657,12.52389227
21.500000,20.21943214,12.5238957
21.541670,20.24038874,12.52758428
21.583330,20.2385092,12.52759114
21.625000,20.23761114,12.52759458
21.666670,20.24089552,12.52759229
21.708330,20.23579193,12.52759687
21.750000,20.26403699,12.54787864
21.791670,20.26061544,12.54787978
21.833330,20.26163005,12.54787978
21.875000,20.24155979,12.53588945
21.916670,20.22421785,12.52390142
21.958330,20.22015261,12.5238957
22.000000,20.20911756,12.52389913
22.041670,20.16722831,12.49992538
22.083330,20.14119168,12.48793737
22.125000,20.1353029,12.47594367
22.166670,20.13173244,12.47594253
22.208330,20.11008775,12.46395909
22.250000,20.09885395,12.45197907
22.291670,20.0887206,12.43999449
22.333330,20.06412405,12.42801558
22.375000,20.04240625,12.41603553
22.416670,20.02627276,12.41604574
22.458330,20.0496663,12.41605595
22.500000,20.08115174,12.44003767
22.541670,20.05305345,12.41608091
22.583330,20.10587682,12.45204618
22.625000,20.04813804,12.41610019
22.666670,20.04366541,12.41610813
22.708330,20.07051633,12.42810755
22.750000,20.07984122,12.43616298
22.791670,20.10087822,12.44818769
22.833330,20.10574574,12.44819792
22.875000,20.08699162,12.43619024
22.916670,20.10466842,12.44821498
22.958330,20.11002547,12.44821839
23.000000,20.0847338,12.42816999
23.041670,20.06393481,12.41619093
23.083330,20.06249264,12.41619887
23.125000,20.0583224,12.41620114
23.166670,20.00604434,12.38025481
23.208330,19.98560414,12.36827683
23.250000,20.00185801,12.38026725
23.291670,20.0193619,12.39225881
23.333330,20.05978251,12.41623517
23.375000,20.0544626,12.41623177
23.416670,20.03240009,12.40426058
23.458330,20.09057094,12.44021951
23.500000,20.10297529,12.45220658
23.541670,20.05897585,12.42021678
23.583330,20.05732853,12.42022359
23.625000,20.01705674,12.39632122
23.666670,20.0153713,12.39632348
23.708330,19.99734098,12.38437172
23.750000,19.98722872,12.3803204
23.791670,20.01427392,12.39230975
23.833330,20.00046466,12.38032832
23.875000,19.99858261,12.38033172
23.916670,20.02002852,12.39232221
23.958330,19.98491398,12.36835592
24.000000,20.00591723,12.38034303
24.041670,19.90394925,12.3126768
24.083330,19.9235498,12.32463424
24.125000,19.94449354,12.33659055
24.166670,19.99300607,12.368374
24.208330,19.98658165,12.36837739
24.250000,21.14766472,13.07775903
24.291670,20.49450225,12.67999191
24.333330,19.96597345,12.35640833
24.375000,20.00148396,12.38038035
24.416670,20.0023311,12.38038713
24.458330,20.01793557,12.39237089
24.500000,20.02958941,12.40436257
24.541670,20.0071114,12.39238221
24.583330,20.0253347,12.40436824
24.625000,19.97764273,12.37249794
24.666670,19.95950263,12.36054836
24.708330,19.95813721,12.36054836
24.750000,19.9398838,12.34859312
24.791670,19.98142367,12.38039958
24.833330,19.96090988,12.36841355
24.875000,19.98141999,12.38039731
24.916670,19.96280178,12.36840338
24.958330,19.98150572,12.38038487
25.000000,19.98032728,12.38037922
25.041670,19.94205748,12.35640269
25.083330,19.98190498,12.38037017
25.125000,19.94320316,12.3563914
25.166670,19.92499428,12.34439413
25.208330,19.90574128,12.3324014
25.250000,19.8830123,12.3204098
25.291670,19.8862702,12.32040305
25.333330,19.9037154,12.33238337
25.375000,19.83610714,12.28874175
25.416670,19.8537541,12.30069016
25.458330,19.85232043,12.30069016
25.500000,19.79266831,12.26482921
25.541670,19.82923141,12.2887395
25.583330,19.82662252,12.28874512
25.625000,19.90537869,12.33656463
25.666670,19.90159294,12.3365759
25.708330,19.88691046,12.32462523
25.750000,19.82791767,12.28876869
25.791670,19.84880148,12.30072724
25.833330,19.85404674,12.30073511
25.875000,19.85118589,12.3007441
25.916670,19.83044198,12.28879115
25.958330,19.8330119,12.28879451
26.000000,19.87183019,12.31270942
26.041670,19.85550533,12.30075871
26.083330,19.81659653,12.27685614
26.125000,19.85540198,12.30076208
26.166670,19.81463805,12.27686287
26.208330,19.8184471,12.27686287
26.250000,19.84863493,12.29650641
26.291670,19.78598659,12.25296474
26.333330,19.80611899,12.26491997
26.375000,19.8087876,12.26492557
26.416670,19.80551358,12.26492893
26.458330,19.81599361,12.27688754
26.500000,19.83725062,12.28884503
26.541670,19.84480876,12.30080141
26.583330,19.86142401,12.31276117
26.625000,19.85846589,12.31276004
26.666670,19.77836927,12.26495246
26.708330,19.8257704,12.28885738
26.750000,19.81194215,12.27690997
26.791670,19.79825753,12.26495694
26.833330,19.79332344,12.26495806
26.875000,19.81799017,12.27691334
26.916670,19.85779355,12.30853966
26.958330,19.8631165,12.30854304
27.000000,19.82099605,12.27691894
27.041670,18.16759104,11.24886763
27.083330,17.95732137,11.11737285
27.125000,17.97798233,11.13402105
27.166670,17.97951471,11.13402613
27.208330,17.97808236,11.13402715
27.250000,17.9598093,11.12204422
27.291670,17.95891345,11.12204422
27.333330,17.95900825,11.12204727
27.375000,17.9583864,11.12205235
27.416670,17.99581841,11.14602229
27.458330,17.97052432,11.13404241
27.500000,17.98346556,11.14602738
27.541670,18.02014368,11.16999836
27.583330,18.05171081,11.19396831
27.625000,18.01568431,11.16521399
27.666670,17.99453362,11.15326082
27.708330,18.01361509,11.16521705
27.750000,18.01599653,11.16521603
27.791670,18.0784673,11.20596352
27.833330,18.07846397,11.20596148
27.875000,18.08400696,11.20596455
27.916670,18.04175737,11.17717737
27.958330,18.00580639,11.15326795
28.000000,18.0242317,11.16522419
28.041670,18.06841291,11.19398467
28.083330,18.08576087,11.20597376
28.125000,18.04938568,11.17718043
28.166670,18.04768704,11.1771835
28.208330,18.04920067,11.17718248
28.250000,18.04967603,11.17718554
28.291670,18.03306932,11.16523235
28.333330,18.07075797,11.18914077
28.375000,18.07168902,11.18914384
28.416670,18.09210276,11.20109907
28.458330,18.09016396,11.20109907
28.500000,18.13776937,11.23696685
28.541670,18.12453356,11.22501263
28.583330,18.14034383,11.23696788
28.625000,18.13352841,11.23696993
28.666670,18.1389704,11.23697198
28.708330,18.13728645,11.23697712
28.750000,18.11819129,11.22502288
28.791670,18.11898806,11.22502288
28.833330,18.11968029,11.22502186
28.875000,18.11879258,11.22502494
28.916670,18.10108194,11.21307275
28.958330,18.10088008,11.21306968
29.000000,18.10371709,11.21307378
29.041670,18.10323112,11.21307275
29.083330,18.10313574,11.21307378
29.125000,18.10477884,11.2130748
29.166670,18.10507667,11.21308095
29.208330,18.10129022,11.21307992
29.250000,18.10276028,11.21308197
29.291670,18.1029598,11.21308504
29.333330,18.1010052,11.21308607
29.375000,18.100313,11.21308504
29.416670,18.09772299,11.21308607
29.458330,18.09478186,11.21308607
29.500000,18.12972919,11.23699149
29.541670,18.14943874,11.24894779
29.583330,18.14817448,11.24894573
29.625000,18.14519033,11.24894265
29.666670,18.11558891,11.22503211
29.708330,18.14202675,11.23698225
29.750000,18.18085404,11.26591625
29.791670,18.18027393,11.26592037
