$ DLS 2011 2017-11-16 by 1_CWMS_weather_station_read_plot_v3.py,,,,,,
CWMS paths:,DLS.Temp-Air.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Temp-DewPoint.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Speed-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Dir-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,TDA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with JHAW/JDA linTrend of TDDO
JDAY,TAIR_C,TDEW_C,WIND_ms,PHI_rad,CLOUD_0_10,BP_mmHg
13.250000,2.2,0.6,2.23,1.04,10,756.363269
13.291670,2.2,0.6,0,0,10,756.363269
13.333330,1.1,0,0,0,7.5,756.363269
13.375000,2.2,0.6,2.68,0,10,757.326369
13.416670,2.8,1.1,0,0,7.5,757.326369
13.458330,3.9,1.7,0,0,4.4,757.326369
13.500000,5.6,2.8,0,0,7.5,756.363269
13.541670,5.6,2.8,0,0,2,756.363269
13.583330,7.2,4.4,1.34,4.01,10,756.363269
13.625000,8.3,4.4,0,0,10,756.363269
13.666670,8.9,5.6,2.23,5.76,7.5,756.363269
13.708330,7.2,5,0,0,10,757.326369
13.750000,6.7,4.4,1.34,3.84,7.5,757.326369
13.791670,6.7,4.4,2.23,3.84,10,757.326369
13.833330,7.8,5,2.23,3.31,10,758.289469
13.875000,8.3,5.6,0,0,10,758.289469
13.916670,11.7,7.2,6.25,5.23,10,759.252569
13.958330,12.2,7.8,1.34,5.12,10,759.252569
14.000000,11.7,7.8,1.34,5,10,760.215669
14.041670,12.2,7.8,1.34,4.88,10,760.215669
14.083330,12.2,7.2,5.81,5.76,7.5,761.178769
14.125000,11.1,6.7,4.47,5.58,2,762.141869
14.166670,11.1,6.7,4.02,5.41,10,762.141869
14.208330,10.6,6.7,3.57,5.76,10,762.141869
14.250000,8.3,5,2.68,1.92,10,762.141869
14.291670,7.8,4.4,0,0,7.5,762.141869
14.333330,7.8,4.4,0,0,10,762.141869
14.375000,7.2,5,0,0,10,763.104969
14.416670,8.3,6.7,2.23,3.49,10,763.104969
14.458330,10,7.2,0,0,10,763.104969
14.500000,11.1,7.2,0,0,10,762.141869
14.541670,10,7.8,1.34,3.14,10,762.141869
14.583330,11.7,7.8,1.34,0.87,10,762.141869
14.625000,11.7,7.8,0,0,10,763.104969
14.666670,10.6,7.8,0,0,4.4,763.104969
14.708330,13.3,8.9,6.25,5.76,0,763.104969
14.750000,10,7.2,2.68,5.06,2,763.104969
14.791670,12.8,8.3,4.91,5.06,0,764.068069
14.833330,12.2,8.3,3.57,5.58,0,764.068069
14.875000,11.7,7.8,1.34,4.36,7.5,765.031169
14.916670,10,6.7,2.23,1.74,7.5,765.031169
14.958330,9.4,6.7,3.12,1.92,2,765.031169
15.000000,7.2,5,0,0,2,765.031169
15.041670,6.1,3.9,0,0,0,765.031169
15.083330,6.1,3.3,3.12,1.74,0,765.031169
15.125000,5.6,2.8,3.57,1.74,0,765.031169
15.166670,3.9,2.2,0,0,0,765.031169
15.208330,3.3,2.2,1.34,2.79,0,765.031169
15.250000,3.3,1.7,0,0,0,764.068069
15.291670,2.8,1.1,2.68,0.87,0,764.068069
15.333330,3.3,1.7,0,0,0,764.068069
15.375000,5,2.8,2.23,4.18,7.5,764.068069
15.416670,5.6,3.3,0,0,0,763.104969
15.458330,6.7,3.9,0,0,10,763.104969
15.500000,8.3,4.4,0,0,7.5,762.141869
15.541670,7.8,5,0,0,10,761.178769
15.583330,7.8,5.6,0,0,10,760.215669
15.625000,7.8,5.6,0,0,10,760.215669
15.666670,7.2,5.6,0,0,10,759.252569
15.708330,7.2,5.6,0,0,10,758.289469
15.750000,7.8,6.1,0,0,10,757.326369
15.791670,7.2,5.6,0,0,10,756.363269
15.833330,7.2,5.6,0,0,10,756.363269
15.875000,7.2,6.1,0,0,10,755.400169
15.916670,7.2,5.6,0,0,10,755.400169
15.958330,7.2,5.6,0,0,10,755.400169
16.000000,7.2,5.6,0,0,10,755.400169
16.041670,6.7,5,0,0,10,754.437069
16.083330,6.7,5.6,2.68,0.34,7.5,754.437069
16.125000,6.1,5,0,0,10,754.437069
16.166670,6.1,5,0,0,10,754.437069
16.208330,7.2,6.1,0,0,10,753.473969
16.250000,7.8,6.7,0,0,10,753.473969
16.291670,8.9,7.8,0,0,10,753.473969
16.333330,8.9,7.2,1.34,0.69,10,753.473969
16.375000,8.9,7.8,0,0,7.5,753.473969
16.416670,10,8.3,1.34,0,10,754.437069
16.458330,11.1,9.4,0,0,10,754.437069
16.500000,10.6,9.4,1.34,3.66,10,753.473969
16.541670,12.8,11.1,2.23,2.44,10,752.510869
16.583330,13.9,11.7,1.34,0.87,10,752.510869
16.625000,13.9,11.1,0,0,10,752.510869
16.666670,12.8,11.1,0,0,10,753.473969
16.708330,12.2,10.6,1.34,4.71,7.5,753.473969
16.750000,11.7,9.4,1.34,1.39,0,754.437069
16.791670,10,8.3,1.34,1.74,0,753.473969
16.833330,12.8,9.4,5.81,5.41,0,753.473969
16.875000,13.9,7.8,8.04,5.23,0,754.437069
16.916670,15,6.1,10.28,5.06,0,754.437069
16.958330,13.3,7.2,7.6,5.41,0,755.400169
17.000000,13.3,6.7,8.04,5.23,0,755.400169
17.041670,13.3,7.2,8.94,5.41,0,755.400169
17.083330,13.9,6.1,11.17,5.23,0,755.400169
17.125000,12.2,7.8,10.72,5.41,0,756.363269
17.166670,12.2,6.7,9.38,5.41,0,756.363269
17.208330,12.2,6.1,9.38,5.41,0,756.363269
17.250000,12.2,5.6,11.17,5.41,0,756.363269
17.291670,11.7,5,11.62,5.41,0,757.326369
17.333330,11.1,5,10.72,5.41,0,758.289469
17.375000,11.7,5.6,10.72,5.06,0,758.289469
