$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
652.000000,2284.14
653.000000,2376.549
654.000000,2128.297
655.000000,2363.922
656.000000,2255.261
657.000000,2090.096
658.000000,2260.154
659.000000,2247.973
660.000000,2518.753
661.000000,2667.183
662.000000,2882.339
663.000000,2824.451
664.000000,2564.94
665.000000,3259.349
666.000000,3488.372
667.000000,3457.943
668.000000,2945.486
669.000000,3064.856
670.000000,3075.937
671.000000,3188.788
672.000000,3276.399
673.000000,3629.679
674.000000,3075.085
675.000000,2924.025
676.000000,3121.187
677.000000,3093.203
678.000000,2946.371
679.000000,3132.797
680.000000,3322.49
681.000000,3326.969
682.000000,3641.872
683.000000,3518.919
684.000000,3595.769
685.000000,3331.016
686.000000,3516.355
687.000000,3743.796
688.000000,3871.393
689.000000,3818
690.000000,3402.773
691.000000,3162.479
692.000000,3913.216
693.000000,3268.932
694.000000,3073.88
695.000000,3031.944
696.000000,2772.735
697.000000,3153.956
698.000000,3938.133
699.000000,3750.777
700.000000,3953.452
701.000000,4169.55
702.000000,4154.917
703.000000,4354.585
704.000000,4227.191
705.000000,4587.291
706.000000,4490.648
707.000000,4810.621
708.000000,4711.416
709.000000,5090.974
710.000000,4943.114
711.000000,4915.789
712.000000,4552.909
713.000000,5226.879
714.000000,5428.964
715.000000,5396.461
716.000000,5850.99
717.000000,4804.156
718.000000,4747.197
719.000000,5482.069
720.000000,5183.251
721.000000,4222.141
722.000000,4218.579
723.000000,4517.296
724.000000,4764.08
725.000000,3938.055
726.000000,3673.369
727.000000,3859.852
728.000000,3974.378
729.000000,4266.111
730.000000,4813.206
731.000000,5293.677
732.000000,5144.282
733.000000,5233.791
734.000000,4983.114
735.000000,5148.935
736.000000,4722.93
737.000000,4928.343
738.000000,4649.266
739.000000,4398.358
740.000000,4608.901
741.000000,5331.173
742.000000,5138.647
743.000000,4708.18
744.000000,4938.226
745.000000,5252.257
746.000000,4544.163
747.000000,5101.252
748.000000,5616.148
749.000000,5721.158
750.000000,4772.022
751.000000,5017.327
752.000000,4791.072
753.000000,4506.046
