$ QGT_TDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_TDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from THE DALLES_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41558, 41678, 41754, 41769, 41867, 41904, 41958, 42024, 42286, 42296 that are  1009, 2, 2, 3, 2, 2, 2, 2, 3, 2, 29 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB21","SB22","SB23","MISC"
153.000000,8342.596,686.863,686.863,686.863,686.863,686.863,686.863,686.863,686.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.000000,8465.442,718.36,718.36,718.36,718.36,718.36,718.36,718.36,718.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.000000,8538.882,715.5,715.5,715.5,715.5,715.5,715.5,715.5,715.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156.000000,8757.271,748.564,748.564,748.564,748.564,748.564,748.564,748.564,748.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.000000,8926.723,746.756,746.756,746.756,746.756,746.756,746.756,746.756,746.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158.000000,8664.915,754.231,754.231,754.231,754.231,754.231,754.231,754.231,754.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.000000,8673.285,756.467,756.467,756.467,756.467,756.467,756.467,756.467,756.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.000000,8642.663,751.281,751.281,751.281,751.281,751.281,751.281,751.281,751.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.000000,8751.206,763.989,763.989,763.989,763.989,763.989,763.989,763.989,763.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.000000,8674.133,758.775,758.775,758.775,758.775,758.775,758.775,758.775,758.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.000000,8468.963,738.138,738.138,738.138,738.138,738.138,738.138,738.138,738.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.000000,8464.714,742.461,742.461,742.461,742.461,742.461,742.461,742.461,742.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.000000,8428.736,738.018,738.018,738.018,738.018,738.018,738.018,738.018,738.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166.000000,8146.359,654.973,726.795,726.795,726.795,726.795,726.795,726.795,726.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167.000000,8280.322,729.413,729.413,729.413,729.413,729.413,729.413,729.413,729.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168.000000,8531.489,684.02,762.147,762.147,762.147,762.147,762.147,762.147,762.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.000000,8544.913,636.486,690.439,787.082,787.082,787.082,787.082,787.082,787.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.000000,8087.816,534.229,696.783,752.964,752.964,752.964,752.964,752.964,752.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.000000,7986.827,351.663,759.087,759.087,759.087,759.087,759.087,759.087,759.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.000000,7565.653,330.651,717.421,717.421,717.421,717.421,717.421,717.421,717.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.000000,7706.166,334.148,574.149,753.489,753.489,753.489,753.489,753.489,753.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.000000,7746.03,336.415,637.06,747.926,747.926,747.926,747.926,747.926,747.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.000000,7544.539,636.086,681.707,707.925,707.925,707.925,707.925,707.925,707.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.000000,8244.09,661.051,661.051,750.33,750.33,750.33,750.33,750.33,750.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.000000,8069.42,574.402,725.57,725.57,725.57,725.57,725.57,725.57,725.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.000000,7705.836,640.09,640.09,682.367,682.367,682.367,682.367,682.367,682.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.000000,6810.339,626.349,628.274,628.274,628.274,628.274,628.274,628.274,628.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.000000,6730.203,613.792,653.322,653.322,653.322,653.322,653.322,653.322,653.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.000000,6857.574,585.945,597.421,608.722,608.722,608.722,608.722,608.722,608.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.000000,6964.107,490.809,566.061,640.551,640.551,640.551,640.551,640.551,640.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.000000,7203.164,600.225,633.672,633.672,633.672,633.672,633.672,633.672,633.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184.000000,7388.058,633.945,701.481,701.481,701.481,701.481,701.481,701.481,701.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.000000,6977.987,603.678,615.886,615.886,615.886,615.886,615.886,615.886,615.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186.000000,7315.681,540.088,658.922,658.922,658.922,658.922,658.922,658.922,658.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
