$ COLUMBIA+YAKIMAFLOW.npt based on $//COLUMBIA+YAKIMA/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1142.000000,1958.731
1143.000000,2346.456
1144.000000,2185.822
1145.000000,1980.801
1146.000000,2252.782
1147.000000,2114.324
1148.000000,2082.406
1149.000000,2249.13
1150.000000,2360.951
1151.000000,2331.43
1152.000000,2378.18
1153.000000,2218.669
1154.000000,2222.819
1155.000000,2436.27
1156.000000,2318.931
1157.000000,2204.078
1158.000000,2448.244
1159.000000,2990.049
1160.000000,3141.778
1161.000000,2811.687
1162.000000,2673.239
1163.000000,2946.218
1164.000000,3085.288
1165.000000,3268.644
1166.000000,3523.943
1167.000000,3490.261
1168.000000,3515.841
1169.000000,3516.377
1170.000000,3768.625
1171.000000,4060.993
1172.000000,3975.058
1173.000000,4093.626
1174.000000,4530.747
1175.000000,4745.361
1176.000000,4733.04
1177.000000,4861.66
1178.000000,4656.553
1179.000000,4393.969
1180.000000,4198.459
1181.000000,4199.766
1182.000000,4553.449
1183.000000,3815.112
1184.000000,3808.062
1185.000000,4537.304
1186.000000,4305.182
1187.000000,4142.405
1188.000000,4187.542
1189.000000,3962
1190.000000,3803.309
1191.000000,3979.181
1192.000000,4197.539
1193.000000,4195.125
1194.000000,4113.373
1195.000000,4115.125
1196.000000,4224.046
1197.000000,4481.381
1198.000000,4440.331
1199.000000,3982.449
1200.000000,3579.714
1201.000000,3966.823
1202.000000,4373.259
1203.000000,4396.785
1204.000000,4641.599
1205.000000,4987.156
1206.000000,5228.105
1207.000000,5108.62
1208.000000,5076.525
1209.000000,5025.995
1210.000000,5119.312
1211.000000,5136.209
1212.000000,4882.368
1213.000000,5075.396
1214.000000,5207.587
1215.000000,5302.429
1216.000000,5267.287
1217.000000,5104.77
1218.000000,5272.888
1219.000000,5264.563
1220.000000,5656.58
1221.000000,5996.132
1222.000000,5974.682
1223.000000,5879.623
1224.000000,5521.392
1225.000000,5419.119
1226.000000,5307.71
1227.000000,5297.271
1228.000000,5513.485
1229.000000,5430.947
1230.000000,5383.496
1231.000000,5360.277
1232.000000,5630.621
1233.000000,5877.568
1234.000000,6264.821
1235.000000,6595.536
1236.000000,6468.207
1237.000000,6392.512
1238.000000,6275.794
1239.000000,6289.231
1240.000000,6369.965
1241.000000,6609.526
1242.000000,6620.868
1243.000000,6597.448
1244.000000,6660.231
1245.000000,6342.001
1246.000000,6520.734
1247.000000,6394.185
1248.000000,5778.854
1249.000000,6193.968
1250.000000,6762.963
1251.000000,6649.261
1252.000000,6737.012
1253.000000,6799.143
1254.000000,6623.77
1255.000000,6085.904
1256.000000,5550.51
1257.000000,5538.183
1258.000000,5570.427
1259.000000,5317.224
1260.000000,4757.837
1261.000000,4474.326
1262.000000,4460.42
1263.000000,4055.243
1264.000000,3873.691
1265.000000,4353.484
1266.000000,4938.763
1267.000000,5556.122
1268.000000,5563.262
1269.000000,5669.42
1270.000000,5886.002
1271.000000,5997.107
1272.000000,6054.141
1273.000000,5863.933
1274.000000,5844.126
1275.000000,5775.425
1276.000000,5708.666
1277.000000,6315.087
1278.000000,6463.671
1279.000000,6272.076
1280.000000,6112.141
1281.000000,5889.981
1282.000000,5708.962
1283.000000,5244.064
1284.000000,5331.218
1285.000000,5778.166
1286.000000,5548.589
1287.000000,5034.968
1288.000000,5016.167
1289.000000,5036.497
1290.000000,4985.933
1291.000000,4815.301
1292.000000,4426.882
1293.000000,4518.725
1294.000000,4899.827
1295.000000,4836.348
1296.000000,4556.963
1297.000000,4463.197
1298.000000,4382.105
1299.000000,4625.631
1300.000000,4618.764
1301.000000,4561.955
1302.000000,4768.311
1303.000000,5197.123
1304.000000,5229.519
1305.000000,4864.386
1306.000000,4737.697
1307.000000,4428.366
