$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
807.000000,1165.669
808.000000,1273.381
809.000000,931.777
810.000000,1257.511
811.000000,1003.093
812.000000,1336.106
813.000000,1002.119
814.000000,1013.486
815.000000,1001.376
816.000000,922.326
817.000000,955.235
818.000000,777.993
819.000000,1059.924
820.000000,572.929
821.000000,1138.607
822.000000,1191.302
823.000000,1209.619
824.000000,1398.338
825.000000,2037.378
826.000000,1713.32
827.000000,1956.854
828.000000,2142.62
829.000000,2130.077
830.000000,2156.37
831.000000,2028.52
832.000000,1928.808
833.000000,1896.488
834.000000,1771.201
835.000000,1904.852
836.000000,1631.098
837.000000,1620.89
838.000000,1763.871
839.000000,1467.063
840.000000,1490.582
841.000000,1419.854
842.000000,1420.3
843.000000,1441.285
844.000000,1634.376
845.000000,1697.042
846.000000,1437.303
847.000000,1446.546
848.000000,1232.133
849.000000,1610.888
850.000000,1599.334
851.000000,1674.37
852.000000,1775.915
853.000000,1822.552
854.000000,1784.542
855.000000,1625.701
856.000000,1522.902
857.000000,1667.783
858.000000,1750.197
859.000000,1879.119
860.000000,2182.073
861.000000,2371.064
862.000000,2842.474
863.000000,3061.423
864.000000,3174.971
865.000000,3556.368
866.000000,3455.133
867.000000,3743.452
868.000000,3633.562
869.000000,3096.471
870.000000,2747.071
871.000000,2708.971
872.000000,2416.83
873.000000,2240.102
874.000000,2303.559
875.000000,2209.865
876.000000,2042.519
877.000000,1924.23
878.000000,1945.773
879.000000,1862.273
880.000000,1763.125
881.000000,1827.726
882.000000,1878.699
883.000000,2037.182
884.000000,1975.655
885.000000,2027.338
886.000000,1831.481
887.000000,1692.093
888.000000,1829.844
889.000000,1866.05
890.000000,1745.301
891.000000,1845.352
892.000000,2060.441
893.000000,2061.719
894.000000,2002.874
895.000000,2011.966
896.000000,1707.005
897.000000,1705.443
898.000000,1444.566
899.000000,1546.904
900.000000,1288.361
901.000000,1206.027
902.000000,1541.433
903.000000,1579.439
904.000000,1288.763
905.000000,1691.142
906.000000,1241.827
907.000000,1261.962
908.000000,1135.731
909.000000,1362.69
910.000000,1296.16
911.000000,1406.055
912.000000,1336.076
913.000000,1374.743
914.000000,1290.614
915.000000,1350.31
916.000000,1345.493
917.000000,1299.102
918.000000,1205.675
919.000000,1316.24
920.000000,933.61
921.000000,1245.91
922.000000,975.97
923.000000,1077.735
924.000000,994.444
925.000000,935.386
926.000000,914.143
927.000000,1034.756
928.000000,824.214
929.000000,950.063
930.000000,953.277
931.000000,905.413
932.000000,983.849
933.000000,749.951
934.000000,949.132
935.000000,834.311
936.000000,810.363
937.000000,792.778
938.000000,825.375
939.000000,836.166
940.000000,911.004
941.000000,655.836
942.000000,728.928
943.000000,856.493
944.000000,737.535
945.000000,746.519
946.000000,793.658
947.000000,663.419
948.000000,927.185
949.000000,749.61
950.000000,676.701
951.000000,904.561
952.000000,743.584
953.000000,659.116
954.000000,749.595
955.000000,726.692
956.000000,681.71
957.000000,625.27
958.000000,791.046
959.000000,701.142
960.000000,619.531
961.000000,604.945
962.000000,618.744
963.000000,693.629
964.000000,536.606
965.000000,615.548
966.000000,635.697
967.000000,469.596
968.000000,551.153
969.000000,543.545
970.000000,586.61
971.000000,597.918
972.000000,639.517
973.000000,681.948
974.000000,632.147
975.000000,535.915
976.000000,656.482
977.000000,385.888
978.000000,313.698
979.000000,399.959
