$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
41392,266.4599823,
41393,266.4599823,
41394,266.7683812,
41395,266.259851,
41396,266.2795361,
41397,266.2795361,
41398,266.5715308,
41399,265.9809796,
41400,265.830061,
41401,266.0105072,
41402,266.3090636,
41403,266.8110322,
41404,267.3294049,
41405,268.4088012,
41406,268.9304548,
41407,268.5105073,
41408,268.5203498,
41409,268.9009272,
41410,268.8385913,
41411,268.4809797,
41412,268.1791424,
41413,268.63846,
41414,268.1200873,
41415,267.7001398,
41416,267.3392474,
41417,267.3097198,
41418,267.9790112,
41419,267.8904285,
41420,267.7001398,
41421,267.8084075,
41422,267.860901,
41423,267.7198248,
41424,267.4803235,
41425,267.2703498,
41426,266.5288799,
41427,266.3615571,
41428,266.1811109,
41429,267.0210059,
41430,266.4107697,
41431,266.8208747,
41432,267.0308484,
41433,266.8996148,
41434,266.5912159,
41435,266.630586,
41436,266.2795361,
41437,266.4304547,
41438,266.4796673,
41439,266.9685125,
41440,266.4304547,
41441,266.259851,
41442,265.5708746,
41443,265.4691686,
41444,265.8792736,
41445,266.0892474,
41446,265.8989586,
41447,265.830061,
41448,266.8602448,
41449,266.4796673,
41450,266.6896411,
41451,266.7486962,
41452,266.8996148,
41453,266.6207434,
41454,266.8208747,
41455,267.0505335,
41456,266.8799298,
41457,267.0899036,
41458,267.0702185,
41459,267.0899036,
41460,267.2506647,
41461,266.1712684,
41462,266.7913471,
41463,266.4009272,
41464,266.2007959,
41465,265.3609009,
41466,265.5315046,
41467,265.2591948,
41468,265.1804547,
41469,265.4986962,
41470,265.400271,
41471,265.5315046,
41472,265.2493523,
41473,265.1804547,
41474,264.9114258,
41475,264.701452,
41476,265.419956,
41477,265.0590636,
41478,265.0590636,
41479,264.5603759,
41480,264.3110321,
41481,264.4389848,
41482,264.9507959,
41483,264.4291423,
41484,264.3011896,
41485,264.4192998,
41486,264.3504022,
41487,265.009851,
41488,264.9704809,
41489,264.2815045,
41490,264.4192998,
41491,264.2683812,
41492,264.3307171,
41493,264.6686436,
41494,264.209326,
41495,264.0813733,
41496,264.5406909,
41497,264.0912158,
41498,263.7303234,
41499,264.5308484,
41500,264.580061,
41501,264.1601134,
41502,263.9895098,
41503,264.3602447,
41504,264.3504022,
41505,264.2191686,
41506,264.3602447,
41507,263.9206121,
41508,264.1207434,
41509,264.3307171,
41510,264.2585386,
41511,263.5892473,
41512,263.6089323,
41513,264.1502709,
41514,263.7303234,
41515,264.0288798,
41516,264.0584074,
41517,263.9206121,
41518,263.9501397,
41519,263.9895098,
41520,263.8713995,
41521,263.5597197,
41522,263.861557,
41523,264.0387224,
41524,264.3996148,
41525,264.1109008,
41526,263.5006646,
41527,263.779536,
41528,264.580061,
41529,264.5210058,
41530,264.0912158,
41531,264.169956,
41532,263.7106384,
41533,263.4088011,
41534,264.1797985,
41535,264.7112946,
41536,263.9796672,
41537,264.1109008,
41538,264.1601134,
41539,263.6286174,
41540,263.881242,
41541,263.8090636,
41542,263.9895098,
41543,264.0485649,
41544,263.9993523,
41545,264.0387224,
41546,264.0912158,
41547,263.7893785,
41548,264.1502709,
41549,264.4389848,
41550,264.5111633,
41551,264.0715308,
41552,264.1010583,
41553,264.2191686,
41554,264.6489586,
41555,265.0787486,
41556,265.2198248,
41557,265.2887224,
41558,265.8595886,
41559,266.0006647,
41560,265.4790111,
41561,264.8884599,
41562,264.9114258,
41563,264.9606384,
41564,264.8687749,
41565,264.7998772,
41566,264.4685124,
41567,264.6292736,
41568,264.7900347,
41569,265.0984337,
41570,265.009851,
41571,264.8589324,
41572,264.580061,
41573,264.599746,
41574,264.3307171,
41575,264.4192998,
41576,264.4685124,
41577,264.7309796,
41578,264.4685124,
41579,264.5899035,
41580,264.9212683,
41581,265.9186437,
41582,266.3189062,
41583,266.0794048,
41584,265.5708746,
41585,265.830061,
41586,266.0105072,
41587,265.9612946,
41588,265.6889849,
41589,265.4593261,
41590,265.009851,
41591,264.990166,
41592,265.1902972,
41593,265.2001397,
41594,265.2395098,
41595,265.0393786,
41596,265.1804547,
41597,265.5610321,
41598,265.9711371,
41599,266.0892474,
41600,266.3713996,
41601,266.3090636,
41602,265.6496148,
41603,265.1213996,
41604,265.1804547,
41605,265.419956,
41606,265.5708746,
41607,265.2296673,
41608,265.1902972,
41609,265.5807172,
41610,265.2296673,
41611,265.6200872,
41612,266.4206122,
41613,266.6010584,
41614,266.3385912,
41615,266.240166,
41616,265.6496148,
41617,265.6988274,
41618,265.8891161,
41619,265.0196935,
41620,265.1804547,
41621,265.5183812,
41622,265.8399035,
41623,265.8595886,
41624,265.2788799,
41625,264.8884599,
41626,265.8005334,
41627,265.5315046,
41628,266.1712684,
41629,266.2007959,
41630,265.6791424,
41631,265.8792736,
41632,265.7906909,
41633,265.2099822,
41634,265.1706122,
41635,265.2001397,
41636,265.2985649,
41637,265.111557,
41638,264.599746,
41639,264.9311108,
41640,264.8490898,
41641,264.8294048,
41642,264.9409534,
41643,264.7408221,
41644,264.5308484,
41645,265.2296673,
41646,265.6594573,
41647,265.5610321,
41648,265.6496148,
41649,265.6200872,
41650,265.6594573,
41651,265.0984337,
41652,265.9908222,
41653,265.4986962,
41654,264.9803234,
41655,264.7408221,
41656,265.2296673,
41657,264.9114258,
41658,264.701452,
41659,264.7900347,
41660,264.9803234,
41661,265.400271,
41662,265.5183812,
41663,265.2001397,
41664,265.2099822,
41665,264.9606384,
41666,264.3602447,
41667,263.9993523,
41668,264.7408221,
41669,265.1804547,
41670,265.2099822,
41671,265.2099822,
41672,265.7414783,
41673,265.6594573,
41674,265.3215308,
41675,265.1509271,
41676,264.9311108,
41677,265.2395098,
41678,265.4790111,
41679,265.7808484,
41680,265.2591948,
41681,264.0190373,
41682,263.7106384,
41683,263.451452,
41684,263.7204809,
41685,264.7309796,
41686,264.7605072,
41687,264.4685124,
41688,265.2788799,
41689,264.990166,
41690,264.8490898,
41691,264.9212683,
41692,265.1607696,
41693,264.9311108,
41694,264.6686436,
41695,264.6095885,
41696,264.4094573,
41697,264.5210058,
41698,264.7309796,
41699,264.9212683,
41700,265.0393786,
41701,265.419956,
41702,266.0301922,
41703,266.2696936,
41704,266.1089324,
41705,266.8307172,
41706,267.080061,
41707,267.38846,
41708,267.4015834,
41709,267.8904285,
41710,267.3392474,
41711,266.8897723,
41712,266.7585387,
41713,267.450796,
41714,267.5098511,
41715,267.2112946,
41716,267.6509272,
41717,267.2998773,
41718,267.5000086,
41719,267.6607697,
41720,267.5000086,
41721,267.1916096,
41722,266.8011896,
41723,266.6994836,
41724,266.630586,
41725,266.4895098,
41726,266.1712684,
41727,266.2893786,
41728,266.650271,
41729,267.1095886,
41730,267.1784862,
41731,266.3287487,
41732,266.2795361,
41733,266.3287487,
41734,266.1089324,
41735,266.4107697,
41736,266.3189062,
41737,266.1089324,
41738,266.2106384,
41739,266.2303235,
41740,266.6109009,
41741,266.6109009,
41742,266.220481,
41743,266.4304547,
41744,266.2106384,
41745,266.4304547,
41746,266.3090636,
41747,266.3910846,
41748,267.0505335,
41749,267.1489587,
41750,267.0013209,
41751,266.7290112,
41752,266.9291424,
41753,266.8504022,
41754,267.0308484,
41755,266.7093261,
41756,266.7290112,
41757,267.38846,
41758,267.0111634,
41759,267.2211372,
41760,266.8110322,
41761,266.3812421,
41762,266.7815046,
41763,267.0013209,
41764,267.4606385,
41765,267.6706122,
41766,268.20867,
41767,267.2506647,
41768,267.1916096,
41769,267.7099823,
41770,267.1686437,
41771,267.1686437,
41772,267.3786175,
41773,266.4698248,
41774,266.0105072,
41775,266.7093261,
41776,267.6902973,
41777,268.2513209,
41778,268.6286175,
41779,268.8812422,
41780,268.7106385,
41781,268.1692999,
41782,268.2185125,
41783,268.9599824,
41784,268.9599824,
41785,269.2913472,
41786,269.3504023,
41787,269.6391162,
41788,269.4291425,
41789,268.8713997,
41790,268.9402973,
41791,268.4186438,
41792,268.2808485,
41793,269.1502711,
41794,268.6286175,
41795,268.3792737,
41796,268.5301923,
41797,268.6089325,
41798,267.9691687,
41799,267.5689062,
41800,267.4114259,
41801,267.4015834,
41802,267.1391162,
41803,266.9291424,
41804,267.0702185,
41805,266.7486962,
41806,265.9514521,
41807,265.5708746,
41808,266.6994836,
41809,266.8700873,
41810,266.7191686,
41811,266.95867,
41812,266.9488274,
41813,267.6607697,
41814,267.4015834,
41815,267.4606385,
41816,267.1292736,
41817,267.2703498,
41818,267.1916096,
41819,267.368775,
41820,267.7296674,
41821,267.8510584,
41822,267.38846,
41823,267.368775,
41824,267.2112946,
41825,267.1588012,
41826,266.4009272,
41827,266.0301922,
41828,266.0794048,
41829,266.0006647,
41830,265.849746,
41831,265.7906909,
41832,265.9088012,
41833,266.1515833,
41834,265.400271,
41835,265.7513208,
41836,265.1312421,
41837,265.7086699,
41838,265.6102447,
41839,265.1509271,
41840,265.0984337,
41841,265.7611634,
41842,264.8589324,
41843,264.6292736,
41844,265.0590636,
41845,265.2099822,
41846,265.439641,
41847,265.3084074,
41848,265.2099822,
