                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    103,     61.000,     0.000,   120.000,     0.800,   765.030,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    104,     61.000,     0.000,   120.000,     1.200,   765.030,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    105,     61.000,     0.000,   120.000,     1.600,   765.030,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    106,     62.000,     0.000,   100.000,     0.000,   765.190,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    107,     62.000,     0.000,   100.000,     0.400,   765.190,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    108,     62.000,     0.000,   100.000,     0.800,   765.190,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    109,     62.000,     0.000,   100.000,     1.200,   765.190,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    110,     62.000,     0.000,   100.000,     1.600,   765.190,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    111,     62.000,     0.000,   101.000,     0.000,   761.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    112,     62.000,     0.000,   101.000,     0.400,   761.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    113,     62.000,     0.000,   101.000,     0.800,   761.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    114,     62.000,     0.000,   101.000,     1.200,   761.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    115,     62.000,     0.000,   101.000,     1.600,   761.455,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    116,     62.000,     0.000,   102.000,     0.000,   757.525,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    117,     62.000,     0.000,   102.000,     0.400,   757.525,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    118,     62.000,     0.000,   102.000,     0.800,   757.525,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    119,     62.000,     0.000,   102.000,     1.200,   757.525,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    120,     62.000,     0.000,   102.000,     1.600,   757.525,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    121,     62.000,     0.000,   103.000,     0.000,   751.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    122,     62.000,     0.000,   103.000,     0.400,   751.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    123,     62.000,     0.000,   103.000,     0.800,   751.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    124,     62.000,     0.000,   103.000,     1.200,   751.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    125,     62.000,     0.000,   103.000,     1.600,   751.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    126,     62.000,     0.000,   104.000,     0.000,   744.035,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    127,     62.000,     0.000,   104.000,     0.400,   744.035,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    128,     62.000,     0.000,   104.000,     0.800,   744.035,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    129,     62.000,     0.000,   104.000,     1.200,   744.035,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    130,     62.000,     0.000,   104.000,     1.600,   744.035,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    131,     62.000,     0.000,   105.000,     0.000,   734.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    132,     62.000,     0.000,   105.000,     0.400,   734.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    133,     62.000,     0.000,   105.000,     0.800,   734.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    134,     62.000,     0.000,   105.000,     1.200,   734.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    135,     62.000,     0.000,   105.000,     1.600,   734.775,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    136,     62.000,     0.000,   106.000,     0.000,   724.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    137,     62.000,     0.000,   106.000,     0.400,   724.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    138,     62.000,     0.000,   106.000,     0.800,   724.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    139,     62.000,     0.000,   106.000,     1.200,   724.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    140,     62.000,     0.000,   106.000,     1.600,   724.770,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    141,     62.000,     0.000,   107.000,     0.000,   714.280,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    142,     62.000,     0.000,   107.000,     0.400,   714.280,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    143,     62.000,     0.000,   107.000,     0.800,   714.280,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    144,     62.000,     0.000,   107.000,     1.200,   714.280,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    145,     62.000,     0.000,   107.000,     1.600,   714.280,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
