$ BONNEVILLE-POOLELEV.npt based on $//BONNEVILLE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42141,23.195
42142,23.444
42143,23.252
42144,23.037
42145,23.084
42146,22.98
42147,23.023
42148,23.13
42149,23.295
42150,23.365
42151,23.284
42152,23.375
42153,23.326
42154,23.311
42155,23.358
42156,23.843
42157,24.133
42158,23.649
42159,23.285
42160,23.381
42161,23.386
42162,23.405
42163,23.341
42164,23.205
42165,23.306
42166,23.319
42167,23.339
42168,23.402
42169,23.651
42170,23.752
42171,23.792
42172,23.587
42173,23.532
42174,23.443
42175,23.39
42176,23.39
42177,23.357
42178,23.477
42179,23.569
42180,23.592
42181,23.616
42182,23.524
42183,23.614
42184,23.56
42185,23.534
42186,23.632
42187,23.653
42188,23.66
42189,23.665
42190,23.562
42191,23.588
42192,23.51
42193,23.333
42194,23.318
42195,23.343
42196,23.644
42197,23.541
42198,23.428
42199,23.463
42200,23.418
42201,23.339
42202,23.309
42203,23.355
42204,23.642
42205,23.612
42206,23.621
42207,23.692
42208,23.747
42209,23.672
42210,23.619
42211,23.721
42212,23.643
42213,23.619
42214,23.698
42215,23.722
42216,23.781
42217,23.671
42218,23.818
42219,24.092
42220,23.82
42221,23.77
42222,24.058
42223,24.167
42224,24.284
42225,24.247
42226,24.158
42227,23.778
42228,23.805
42229,23.716
42230,23.95
42231,23.955
42232,24.026
42233,24.066
42234,24.012
42235,24.052
42236,23.997
42237,24.046
42238,24.041
42239,24.172
42240,24.11
42241,24.094
42242,24.017
42243,23.978
42244,24.004
42245,24.049
42246,24.067
42247,24.018
42248,24.08
42249,24.065
42250,24.068
42251,24.129
42252,24.152
42253,24.071
42254,24.076
42255,24.069
42256,24.086
42257,24.072
42258,24.162
42259,24.124
42260,24.11
42261,24.11
42262,24.014
42263,23.986
42264,24.02
42265,23.997
42266,24.033
42267,24.021
42268,23.951
42269,23.859
42270,23.763
42271,23.877
42272,23.862
42273,23.869
42274,23.875
42275,24.112
42276,24.174
42277,24.12
42278,24.105
42279,24.113
42280,24.087
42281,24.106
42282,24.146
42283,24.115
42284,24.037
42285,24.02
42286,24.044
42287,24.02
42288,23.984
42289,24.077
42290,24.062
42291,23.949
42292,23.936
42293,23.649
42294,23.097
42295,23.099
