$ LOWER GRANITE-POOLELEV.npt based on $//LOWER GRANITE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41750,225.067
41751,225.046
41752,225.092
41753,224.991
41754,225.04
41755,225.025
41756,224.964
41757,224.915
41758,224.933
41759,224.97
41760,225.052
41761,225.022
41762,225.08
41763,225.116
41764,225.034
41765,224.939
41766,224.942
41767,224.942
41768,224.888
41769,224.869
41770,224.9
41771,224.973
41772,224.909
41773,224.912
41774,224.994
41775,224.979
41776,225.07
41777,224.936
41778,224.933
41779,224.933
41780,224.671
41781,224.653
41782,224.833
41783,224.912
41784,224.665
41785,224.65
41786,224.604
41787,224.628
41788,224.586
41789,224.607
41790,224.595
41791,224.592
41792,224.552
41793,224.601
41794,224.674
41795,224.827
41796,224.924
41797,224.897
41798,224.967
41799,224.97
41800,224.894
41801,224.927
41802,224.903
41803,224.885
41804,224.936
41805,224.897
41806,224.891
41807,225.028
41808,225.107
41809,225.055
41810,225.043
41811,225.019
41812,225.08
41813,225.104
41814,225.04
41815,225.019
41816,225.095
41817,225.098
41818,225.034
41819,225.067
41820,225.11
41821,224.991
41822,225.04
41823,225.052
41824,225.083
41825,225.055
41826,225.019
41827,225.046
41828,225.08
41829,225.08
41830,225.064
41831,225.061
41832,225.037
41833,225.049
41834,225.04
41835,225.08
41836,225.077
41837,225.195
41838,225.217
41839,225.25
41840,225.217
41841,225.241
41842,225.22
41843,225.205
41844,225.174
41845,225.217
41846,225.211
41847,225.186
41848,225.195
41849,225.198
41850,225.253
41851,225.198
41852,225.171
41853,225.22
41854,225.238
41855,225.18
41856,225.162
41857,225.104
41858,225.156
41859,225.192
41860,225.232
41861,225.205
41862,225.226
41863,225.247
41864,225.186
41865,225.198
41866,225.186
41867,225.223
41868,225.205
41869,225.162
41870,225.171
41871,225.22
41872,225.235
41873,225.183
41874,225.138
41875,225.134
41876,225.208
41877,225.293
41878,225.217
41879,225.22
41880,225.247
41881,225.247
41882,225.198
41883,225.195
41884,225.202
41885,225.305
41886,225.211
41887,225.217
41888,225.226
41889,225.232
41890,225.293
41891,225.275
41892,225.308
41893,225.22
41894,225.144
41895,225.25
41896,225.165
41897,225.253
41898,225.198
41899,225.208
41900,225.229
41901,225.214
41902,225.241
41903,225.232
41904,225.202
41905,225.217
41906,225.22
41907,225.238
41908,225.272
41909,225.436
41910,225.586
41911,225.726
41912,225.768
41913,225.765
41914,225.845
41915,225.808
41916,225.869
41917,225.836
41918,225.802
41919,225.787
41920,225.714
41921,225.61
41922,225.653
41923,225.631
41924,225.643
41925,225.765
41926,225.683
41927,225.647
41928,225.634
41929,225.607
41930,225.674
41931,225.659
41932,225.68
41933,225.723
41934,225.668
41935,225.662
41936,225.698
41937,225.784
41938,225.723
41939,225.683
41940,225.686
41941,225.723
41942,225.723
41943,225.671
41944,225.555
41945,225.653
41946,225.662
41947,225.706
41948,225.71
41949,225.64
41950,225.573
41951,225.655
41952,225.682
41953,225.66
41954,225.717
41955,225.664
41956,225.697
41957,225.567
41958,225.512
41959,225.463
41960,225.472
41961,225.458
41962,225.554
41963,225.468
41964,225.335
41965,225.446
41966,225.662
41967,225.761
41968,225.663
41969,225.454
41970,225.515
41971,225.489
41972,225.652
41973,225.738
41974,225.718
41975,225.629
41976,225.59
41977,225.536
41978,225.507
41979,225.521
41980,225.545
41981,225.677
41982,225.636
41983,225.649
41984,225.562
41985,225.5
41986,225.643
41987,225.547
41988,225.669
41989,225.738
41990,225.785
41991,225.714
41992,225.582
41993,225.474
41994,225.479
41995,225.374
41996,225.302
41997,225.515
41998,225.621
41999,225.689
42000,225.648
42001,225.632
42002,225.585
42003,225.574
42004,225.638
42005,225.643
42006,225.603
42007,225.586
42008,225.498
42009,225.55
42010,225.646
42011,225.617
42012,225.739
42013,225.715
42014,225.693
42015,225.634
42016,225.658
42017,225.676
42018,225.657
42019,225.662
42020,225.65
42021,225.679
42022,225.668
42023,225.659
42024,225.749
42025,225.718
42026,225.722
42027,225.667
42028,225.627
42029,225.681
42030,225.692
42031,225.593
42032,225.609
42033,225.616
42034,225.669
42035,225.648
42036,225.673
42037,225.674
42038,225.613
42039,225.718
42040,225.664
42041,225.662
42042,225.659
42043,225.524
42044,225.545
42045,225.452
42046,225.551
42047,225.631
42048,225.529
42049,225.56
42050,225.672
42051,225.662
42052,225.603
42053,225.537
42054,225.321
42055,225.399
42056,225.458
42057,225.589
42058,225.595
42059,225.647
42060,225.506
42061,225.465
42062,225.554
42063,225.657
42064,225.475
42065,225.61
42066,225.587
42067,225.562
42068,225.623
42069,225.319
42070,225.112
42071,224.973
42072,225.163
42073,225.159
42074,225.22
42075,225.192
42076,225.144
42077,225.07
42078,225.086
42079,225.177
42080,225.281
42081,225.107
42082,225.418
42083,225.534
42084,225.555
42085,225.397
42086,225.217
42087,225.247
42088,225.052
42089,225.375
42090,225.592
42091,225.394
42092,225.15
42093,225.287
42094,225.287
42095,225.15
42096,225.07
42097,225.467
42098,224.656
42099,224.641
42100,224.61
42101,224.531
42102,224.543
42103,224.607
42104,224.583
42105,224.635
42106,224.589
42107,224.555
42108,224.555
42109,224.558
42110,224.583
42111,224.577
42112,224.537
42113,224.619
42114,224.552
42115,224.546
42116,224.586
42117,224.601
42118,224.659
42119,224.641
42120,224.601
42121,224.619
42122,224.565
42123,224.61
42124,224.607
42125,224.586
42126,224.647
42127,224.65
42128,224.586
42129,224.577
42130,224.592
42131,224.613
42132,224.616
42133,224.592
42134,224.595
42135,224.61
42136,224.607
42137,224.653
42138,224.622
42139,224.632
42140,224.647
42141,224.58
42142,224.632
42143,224.616
42144,224.549
42145,224.58
42146,224.635
42147,224.552
42148,224.555
42149,224.619
42150,224.647
42151,224.604
42152,224.61
42153,224.561
42154,224.58
42155,224.574
42156,224.571
42157,224.601
42158,224.592
42159,224.625
42160,224.662
42161,224.619
42162,224.555
42163,224.607
42164,224.598
42165,224.628
42166,224.619
42167,224.589
42168,224.607
42169,224.61
42170,224.571
42171,224.543
42172,224.598
42173,224.595
42174,224.613
42175,224.616
42176,224.568
42177,224.546
42178,224.54
42179,224.525
42180,224.565
42181,224.586
42182,224.574
42183,224.565
42184,224.619
42185,224.616
42186,224.558
42187,224.528
42188,224.583
42189,224.54
42190,224.561
42191,224.552
42192,224.628
42193,224.644
42194,224.659
42195,224.686
42196,224.668
42197,224.65
42198,224.555
42199,224.577
42200,224.607
42201,224.522
42202,224.543
42203,224.653
42204,224.671
42205,224.604
42206,224.574
42207,224.577
42208,224.619
42209,224.628
42210,224.54
42211,224.604
42212,224.497
42213,224.607
42214,224.674
42215,224.644
42216,224.61
42217,224.558
42218,224.622
42219,224.607
42220,224.635
42221,224.595
42222,224.595
42223,224.625
42224,224.601
42225,224.565
42226,224.522
42227,224.561
42228,224.525
42229,224.632
42230,224.668
42231,224.653
42232,224.662
42233,224.656
42234,224.568
42235,224.583
42236,224.565
42237,224.574
42238,224.571
42239,224.549
42240,224.589
42241,224.674
42242,224.598
42243,224.54
42244,224.592
42245,224.665
42246,224.598
42247,224.543
42248,224.54
42249,224.558
42250,224.601
42251,224.625
42252,224.894
42253,224.982
42254,225.022
42255,224.656
42256,224.76
42257,224.817
42258,224.787
42259,224.726
42260,224.894
42261,224.891
42262,224.994
42263,225.022
42264,224.982
42265,224.763
42266,224.708
42267,224.805
42268,224.635
42269,224.689
42270,224.781
42271,224.772
42272,224.821
42273,224.985
42274,225.028
42275,225.229
42276,225.296
42277,225.32
42278,225.32
42279,225.262
42280,225.205
42281,225.269
42282,225.412
42283,225.549
42284,225.583
42285,225.604
42286,225.619
42287,225.503
42288,225.43
42289,225.464
42290,225.583
42291,225.64
42292,225.72
42293,225.598
42294,225.336
42295,225.424
42296,225.467
42297,225.567
42298,225.732
42299,225.759
42300,225.613
42301,225.677
42302,225.659
42303,225.64
42304,225.54
42305,225.497
42306,225.394
42307,225.299
42308,225.381
42309,225.482
42310,225.531
42311,225.633
42312,225.702
42313,225.754
42314,225.66
42315,225.612
42316,225.587
42317,225.591
