$ SNAKE+ASOTIN CKFLOW.npt based on $//SNAKE+ASOTIN CK/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1111.000000,491.174
1112.000000,486.009
1113.000000,478.627
1114.000000,475.892
1115.000000,476.911
1116.000000,472.022
1117.000000,449.742
1118.000000,437.563
1119.000000,433.654
1120.000000,438.114
1121.000000,455.328
1122.000000,445.652
1123.000000,423.889
1124.000000,419.156
1125.000000,420.388
1126.000000,425.797
1127.000000,442.08
1128.000000,462.301
1129.000000,464.679
1130.000000,453.508
1131.000000,443.528
1132.000000,437.658
1133.000000,426.938
1134.000000,419.013
1135.000000,440.06
1136.000000,454.725
1137.000000,436.958
1138.000000,435.369
1139.000000,439.386
1140.000000,434.463
1141.000000,506.874
1142.000000,616.88
1143.000000,737.981
1144.000000,814.036
1145.000000,796.902
1146.000000,782.727
1147.000000,777.434
1148.000000,799.315
1149.000000,745.566
1150.000000,658.657
1151.000000,663.9
1152.000000,687.656
1153.000000,682.423
1154.000000,705.571
1155.000000,725.878
1156.000000,759.974
1157.000000,795.276
1158.000000,801.616
1159.000000,894.323
1160.000000,1074.824
1161.000000,1206.911
1162.000000,1462.638
1163.000000,1682.003
1164.000000,1694.413
1165.000000,1647.747
1166.000000,1800.258
1167.000000,2025.952
1168.000000,1993.437
1169.000000,1793.712
1170.000000,1591.509
1171.000000,1391.029
1172.000000,1325.357
1173.000000,1289.322
1174.000000,1209.155
1175.000000,1192.316
1176.000000,1190.804
1177.000000,1113.165
1178.000000,947.398
1179.000000,862.013
1180.000000,849.967
1181.000000,757.866
1182.000000,699.213
1183.000000,794.639
1184.000000,921.519
1185.000000,1029.202
1186.000000,1179.676
1187.000000,1146.457
1188.000000,998.705
1189.000000,938.283
1190.000000,945.559
1191.000000,1000.897
1192.000000,1042.293
1193.000000,1058.496
1194.000000,1073.679
1195.000000,1043.172
1196.000000,1047.85
1197.000000,1094.419
1198.000000,1159.726
1199.000000,1230.289
1200.000000,1254.332
1201.000000,1273.483
1202.000000,1188.081
1203.000000,1053.927
1204.000000,1088.592
1205.000000,1140.919
1206.000000,1179.955
1207.000000,1193.479
1208.000000,1249.553
1209.000000,1271.067
1210.000000,1230.875
1211.000000,1278.701
1212.000000,1357.304
1213.000000,1346.031
1214.000000,1291.204
1215.000000,1231.684
1216.000000,1154.926
1217.000000,1068.621
1218.000000,1102.382
1219.000000,1193.139
1220.000000,1230.127
1221.000000,1360.563
1222.000000,1616.347
1223.000000,1726.886
1224.000000,1635.808
1225.000000,1555.959
1226.000000,1475.01
1227.000000,1467.858
1228.000000,1445.871
1229.000000,1357.29
1230.000000,1278.004
1231.000000,1230.175
1232.000000,1252.48
1233.000000,1365.59
1234.000000,1580.822
1235.000000,1856.12
1236.000000,2064.409
1237.000000,2058.429
1238.000000,1935.206
1239.000000,1926.918
1240.000000,2052.824
1241.000000,2244.031
1242.000000,2437.848
1243.000000,2522.783
1244.000000,2496.619
1245.000000,2471.41
1246.000000,2446.602
1247.000000,2437.633
1248.000000,2402.682
1249.000000,2239.918
1250.000000,2134.947
1251.000000,2052.024
1252.000000,2021.842
1253.000000,2016.173
1254.000000,2011.622
1255.000000,1960.203
1256.000000,1875.474
1257.000000,1836.745
1258.000000,1745.014
1259.000000,1628.471
1260.000000,1636.378
1261.000000,1584.814
1262.000000,1453.119
1263.000000,1354.884
1264.000000,1319.687
1265.000000,1309.97
1266.000000,1364.883
1267.000000,1356.519
1268.000000,1286.797
1269.000000,1241.967
1270.000000,1236.038
1271.000000,1260.157
1272.000000,1271.38
1273.000000,1247.571
1274.000000,1202.09
1275.000000,1188.792
1276.000000,1210.691
1277.000000,1221.651
1278.000000,1206.233
1279.000000,1190.292
1280.000000,1167.599
1281.000000,1144.726
1282.000000,1116.458
1283.000000,1062.95
1284.000000,1036.845
1285.000000,1033.042
1286.000000,1004.824
1287.000000,965.637
1288.000000,906.086
1289.000000,862.128
1290.000000,835.773
1291.000000,823.004
1292.000000,803.021
1293.000000,764.049
1294.000000,719.9
1295.000000,701.372
1296.000000,675.968
1297.000000,625.84
1298.000000,619.978
1299.000000,627.281
1300.000000,610.368
1301.000000,603.125
1302.000000,617.088
1303.000000,586.723
1304.000000,538.366
1305.000000,548.711
1306.000000,577.189
1307.000000,595.844
1308.000000,610.062
1309.000000,575.504
1310.000000,557.249
1311.000000,565.353
1312.000000,554.832
1313.000000,537.439
1314.000000,493.619
1315.000000,474.553
1316.000000,463.604
1317.000000,461.119
1318.000000,451.427
1319.000000,439.873
1320.000000,456.664
1321.000000,465.63
1322.000000,461.912
1323.000000,475.793
1324.000000,488.82
1325.000000,492.005
1326.000000,494.673
1327.000000,474.822
1328.000000,468.634
1329.000000,454.126
1330.000000,436.302
1331.000000,430.846
1332.000000,424.838
1333.000000,426.054
1334.000000,443.196
1335.000000,457.393
1336.000000,451.803
1337.000000,447.623
1338.000000,440.67
1339.000000,438.759
1340.000000,431.221
1341.000000,419.261
1342.000000,425.581
1343.000000,426.622
1344.000000,419.199
1345.000000,425.581
1346.000000,417.497
1347.000000,400.845
1348.000000,399.499
1349.000000,391.344
1350.000000,378.819
1351.000000,382.541
1352.000000,377.007
1353.000000,370.891
1354.000000,381.482
1355.000000,369.883
1356.000000,369.417
1357.000000,372.187
1358.000000,369.945
1359.000000,367.913
1360.000000,378.488
1361.000000,389.042
1362.000000,390.745
1363.000000,376.683
1364.000000,358.69
1365.000000,376.97
1366.000000,409.306
1367.000000,424.123
1368.000000,419.908
1369.000000,419.615
1370.000000,418.735
1371.000000,404.947
1372.000000,415.455
1373.000000,425.913
1374.000000,422.352
1375.000000,413.749
1376.000000,409.347
1377.000000,407.787
1378.000000,412.929
