$ QGT_LWG_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LWG_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER GRANITE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41932, 41941, 41958, 42194, 42296 that are  3, 4, 2, 3, 21 days long
"JDAY","POW","SPB1.RSW","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
318.000000,599.619,0,0,0,0,0,0,0,0,9.304
319.000000,584.475,0,0,0,0,0,0,0,0,8.909
320.000000,687.311,0,0,0,0,0,0,0,0,10.162
321.000000,751.966,0,0,0,0,0,0,0,0,11.794
322.000000,684.438,0,0,0,0,0,0,0,0,13.475
323.000000,587.589,0,0,0,0,0,0,0,0,7.415
324.000000,617.5,0,0,0,0,0,0,0,0,6.51
325.000000,695.269,0,0,0,0,0,0,0,0,11.254
326.000000,670.083,0,0,0,0,0,0,0,0,33.986
327.000000,716.982,0,0,0,0,0,0,0,0,20.875
328.000000,677.052,0,0,0,0,0,0,0,0,9.356
329.000000,680.606,0,0,0,0,0,0,0,0,12.306
330.000000,649.571,0,0,0,0,0,0,0,0,8.953
331.000000,565.611,0,0,0,0,0,0,0,0,7.293
332.000000,548.894,0,0,0,0,0,0,0,0,8.712
333.000000,624.481,0,0,0,0,0,0,0,0,12.135
334.000000,578.61,55.749,12.761,0,0,0,0,0,0,13.697
335.000000,596.775,0,0,0,0,0,0,0,0,7.197
336.000000,571.613,0,0,0,0,0,0,0,0,12.695
337.000000,630.52,0,0,0,0,0,0,0,0,9.111
338.000000,611.548,0,0,0,0,0,0,0,0,9.68
339.000000,546.361,0,0,0,0,0,0,0,0,7.731
340.000000,594.652,0,0,0,0,0,0,0,0,14.627
341.000000,593.504,0,0,0,0,0,0,0,0,19.678
342.000000,653.059,0,0,0,0,0,0,0,0,9.569
343.000000,653.353,0,0,0,0,0,0,0,0,7.339
344.000000,640.702,0,10.132,3.562,0,0,0,0,0,11.828
345.000000,663.478,0,0,0,0,0,0,0,0,9.169
346.000000,553.49,0,0,0,0,0,0,0,0,11.554
347.000000,580.134,0,0,0,0,0,0,0,0,8.845
348.000000,663.663,0,0,0,0,0,0,0,0,9.906
349.000000,622.481,0,0,0,0,0,0,0,0,9.806
350.000000,693.916,0,0,0,0,0,0,0,0,8.99
351.000000,647.288,0,0,0,0,0,0,0,0,10.614
352.000000,564.794,0,0,0,0,0,0,0,0,7.556
