$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31
"JDAY","ELEV"
"41838.00",291.846
"41839.00",291.907
"41840.00",291.877
"41841.00",291.755
"41842.00",291.602
"41843.00",291.785
"41844.00",291.48
"41845.00",291.602
"41846.00",292.059
"41847.00",291.602
"41848.00",291.785
"41849.00",291.907
"41850.00",291.694
"41851.00",291.877
"41852.00",291.907
"41853.00",291.816
"41854.00",291.968
"41855.00",291.846
"41856.00",291.816
"41857.00",291.755
"41858.00",291.724
"41859.00",291.633
"41860.00",291.724
"41861.00",291.877
"41862.00",291.846
"41863.00",291.511
"41864.00",291.511
"41865.00",291.633
"41866.00",291.755
"41867.00",291.724
"41868.00",291.755
"41869.00",291.785
"41870.00",291.755
"41871.00",291.907
"41872.00",291.694
"41873.00",291.907
"41874.00",292.151
"41875.00",291.877
"41876.00",291.755
"41877.00",291.755
"41878.00",291.541
"41879.00",291.572
"41880.00",291.541
"41881.00",291.663
