$ GRAND COULEE_OUTFLOW.npt based on $//GRAND COULEE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
959.000000,3612.285
960.000000,3649.333
961.000000,3707.369
962.000000,3178.517
963.000000,2940.885
964.000000,3066.535
965.000000,3170.213
966.000000,3016.478
967.000000,2982.903
968.000000,2641
969.000000,2350.708
970.000000,2641.752
971.000000,2790.815
972.000000,2702.475
973.000000,2714.66
974.000000,2827.396
975.000000,2853.339
976.000000,2397.959
977.000000,1961.45
978.000000,1494.148
979.000000,1861.611
980.000000,2204.951
981.000000,2189.364
982.000000,2008.876
983.000000,1692.94
984.000000,1854.489
985.000000,2071.675
986.000000,1846.898
987.000000,2214.928
988.000000,2380.083
989.000000,2227.879
990.000000,1936.785
991.000000,2345.48
992.000000,2552.982
993.000000,2119.378
994.000000,2249.669
995.000000,2346.97
996.000000,1707.026
997.000000,1789.967
998.000000,1920.541
999.000000,2022.959
1000.000000,1911.059
1001.000000,1794.676
1002.000000,2196.992
1003.000000,2200.924
1004.000000,1970.442
1005.000000,1702.778
1006.000000,2000.589
1007.000000,1905.623
1008.000000,1645.2
1009.000000,2034.155
1010.000000,1926.953
1011.000000,1726.958
1012.000000,1644.761
1013.000000,1795.095
1014.000000,1730.711
1015.000000,2122.522
1016.000000,1886.318
1017.000000,1458.576
1018.000000,1758.745
1019.000000,1723.541
1020.000000,2109.104
1021.000000,2422.824
1022.000000,2325.99
1023.000000,2251.588
1024.000000,2365.508
1025.000000,2343.877
1026.000000,2274.677
1027.000000,2357.033
1028.000000,2140.799
1029.000000,2153.864
1030.000000,2214.555
1031.000000,2091.61
1032.000000,2081.277
1033.000000,1891.388
1034.000000,2117.7
1035.000000,2425.875
1036.000000,2296.682
1037.000000,2088.539
1038.000000,2113.635
1039.000000,1784.738
1040.000000,1647.17
1041.000000,2203.705
1042.000000,2419.462
1043.000000,2875.844
1044.000000,2680.943
1045.000000,2414.256
1046.000000,1976.08
1047.000000,1813.299
1048.000000,2159.001
1049.000000,2454.817
1050.000000,2185.444
1051.000000,2362.464
1052.000000,2286.082
1053.000000,2471.521
1054.000000,2268.927
1055.000000,2144.874
1056.000000,2307.043
1057.000000,2403.294
1058.000000,2554.556
1059.000000,2366.26
1060.000000,2848.673
1061.000000,2804.886
1062.000000,2983.573
1063.000000,2865.388
1064.000000,2635.609
1065.000000,2944.941
1066.000000,2794.71
1067.000000,2711.037
1068.000000,2293.648
1069.000000,2510.627
1070.000000,2249.774
1071.000000,2412.485
1072.000000,2851.972
1073.000000,3015.486
1074.000000,2553.337
1075.000000,3466.131
1076.000000,3225.721
1077.000000,2906.947
1078.000000,3137.509
1079.000000,3218.943
1080.000000,2585.77
1081.000000,2324.899
1082.000000,2087.861
1083.000000,2244.458
1084.000000,2412.828
1085.000000,2619.344
1086.000000,3232.376
1087.000000,2713.053
1088.000000,2213.603
1089.000000,1995.064
1090.000000,1980.788
1091.000000,2058.988
1092.000000,2253.11
1093.000000,2444.582
1094.000000,2770.203
1095.000000,2516.386
1096.000000,2487.697
1097.000000,2587.915
1098.000000,2099.961
1099.000000,1972.021
1100.000000,1893.498
1101.000000,2731.121
1102.000000,3362.183
1103.000000,3328.447
1104.000000,3121.552
1105.000000,3345.44
1106.000000,3338.631
1107.000000,3092.857
1108.000000,2786.925
1109.000000,2482.896
1110.000000,2178.67
1111.000000,2026.273
1112.000000,2371.441
1113.000000,2234.491
1114.000000,2326.488
1115.000000,1742.821
1116.000000,3769.543
1117.000000,2770.696
1118.000000,2713.729
1119.000000,2949.936
1120.000000,3121.135
1121.000000,3109.265
1122.000000,2827.216
1123.000000,2145.386
1124.000000,2215.144
1125.000000,2883.16
1126.000000,3226.545
1127.000000,3056.012
1128.000000,2661.196
1129.000000,2251.423
1130.000000,1237.745
1131.000000,2410.452
1132.000000,1156.217
1133.000000,2508.004
1134.000000,2951.022
1135.000000,3624.409
1136.000000,3134.798
1137.000000,2322.988
1138.000000,1942.557
1139.000000,2171.671
1140.000000,1855.244
1141.000000,2017.303
1142.000000,2249.664
1143.000000,1940.872
1144.000000,1296.862
1145.000000,1604.047
1146.000000,1328.492
1147.000000,1732.589
1148.000000,2485.274
1149.000000,2515.236
1150.000000,2017.35
1151.000000,2172.382
1152.000000,1678.138
1153.000000,1870.273
1154.000000,2156.296
1155.000000,1549.729
1156.000000,1631.78
1157.000000,1240.275
1158.000000,1313.176
1159.000000,1871.268
1160.000000,1831.21
1161.000000,1765.526
1162.000000,2099.968
1163.000000,2453.534
1164.000000,2701.476
1165.000000,3326.295
1166.000000,2798.964
1167.000000,2705.42
1168.000000,2602.862
1169.000000,3152.246
1170.000000,3654.006
1171.000000,3315.067
1172.000000,3207.782
1173.000000,3967.362
1174.000000,3842.791
1175.000000,3921.039
1176.000000,3596.901
1177.000000,4524.01
1178.000000,4150.115
1179.000000,3885.785
1180.000000,4038.519
1181.000000,3967.155
1182.000000,4521.631
1183.000000,1985.47
1184.000000,4763.872
1185.000000,4087.644
1186.000000,3738.272
1187.000000,3526.88
1188.000000,3888.833
1189.000000,3512.101
1190.000000,3690.533
1191.000000,3647.629
1192.000000,3627.03
1193.000000,3750.366
1194.000000,3649.5
1195.000000,3721.826
1196.000000,3774.495
1197.000000,3643.821
1198.000000,3294.338
1199.000000,3435.857
1200.000000,3604.324
1201.000000,4028.156
1202.000000,3785.379
1203.000000,3905.817
1204.000000,4149.886
1205.000000,4436.331
1206.000000,4347.019
1207.000000,4434.896
1208.000000,4549.211
1209.000000,4434.601
1210.000000,4405.983
1211.000000,4264.792
1212.000000,4376.236
1213.000000,4571.245
1214.000000,4693.269
1215.000000,4423.607
1216.000000,4427.894
1217.000000,4600.424
1218.000000,4546.3
1219.000000,4568.4
1220.000000,5245.411
1221.000000,5064.976
1222.000000,4881.116
1223.000000,4799.459
1224.000000,4399.327
