$Grand Coulee Dam Outflow Temperature,
 ,
JDAY,TWO
49.291670,2.25
49.333340,2.27
49.375000,2.28
49.416670,2.29
49.458340,2.31
49.500000,2.32
49.541670,2.34
49.583340,2.38
49.625000,2.44
49.666670,2.46
49.708340,2.41
49.750000,2.41
49.791670,2.4
49.833340,2.41
49.875000,2.41
49.916670,2.45
49.958340,2.49
50.000000,2.51
50.041670,2.49
50.083340,2.48
50.125000,2.49
50.166670,2.49
50.208340,2.48
50.250000,2.46
50.291670,2.49
50.333340,2.48
50.375000,2.5
50.416670,2.54
50.458340,2.56
50.500000,2.61
50.541670,2.62
50.583340,2.65
50.625000,2.64
50.666670,2.61
50.708340,2.55
50.750000,2.55
50.791670,2.55
50.833340,2.56
50.875000,2.58
50.916670,2.61
50.958340,2.61
51.000000,2.61
51.041670,2.61
51.083340,2.6
51.125000,2.6
51.166670,2.59
51.208340,2.59
51.250000,2.59
51.291670,2.58
51.333340,2.59
51.375000,2.61
51.416670,2.63
51.458340,2.63
51.500000,2.66
51.541670,2.68
51.583340,2.73
51.625000,2.74
51.666670,2.73
51.708340,2.71
51.750000,2.71
51.791670,2.72
51.833340,2.72
51.875000,2.72
51.916670,2.72
51.958340,2.74
52.000000,2.75
52.041670,2.76
52.083340,2.76
52.125000,2.76
52.166670,2.74
52.208340,2.73
52.250000,2.73
52.291670,2.73
52.333340,2.74
52.375000,2.73
52.416670,2.73
52.458340,2.73
52.500000,2.74
52.541670,2.74
52.583340,2.74
52.625000,2.74
52.666670,2.73
52.708340,2.72
52.750000,2.69
52.791670,2.68
52.833340,2.67
52.875000,2.67
52.916670,2.67
52.958340,2.68
53.000000,2.69
53.041670,2.66
53.083340,2.66
53.125000,2.66
53.166670,2.66
53.208340,2.66
53.250000,2.65
53.291670,2.66
53.333340,2.64
53.375000,2.65
53.416670,2.65
53.458340,2.65
53.500000,2.65
53.541670,2.66
53.583340,2.67
53.625000,2.69
53.666670,2.69
53.708340,2.68
53.750000,2.66
53.791670,2.67
53.833340,2.7
53.875000,2.73
53.916670,2.73
53.958340,2.74
54.000000,2.74
54.041670,2.72
54.083340,2.71
54.125000,2.7
54.166670,2.69
54.208340,2.68
54.250000,2.68
54.291670,2.69
54.333340,2.68
54.375000,2.68
54.416670,2.68
54.458340,2.69
54.500000,2.69
54.541670,2.69
54.583340,2.67
54.625000,2.66
54.666670,2.68
54.708340,2.67
54.750000,2.67
54.791670,2.67
54.833340,2.67
54.875000,2.67
54.916670,2.66
54.958340,2.66
55.000000,2.68
55.041670,2.67
55.083340,2.66
55.125000,2.68
55.166670,2.68
55.208340,2.62
55.250000,2.55
55.291670,2.53
55.333340,2.54
55.375000,2.56
55.416670,2.57
55.458340,2.59
55.500000,2.6
55.541670,2.61
55.583340,2.62
55.625000,2.62
55.666670,2.62
55.708340,2.61
55.750000,2.61
55.791670,2.61
55.833340,2.61
55.875000,2.6
55.916670,2.59
55.958340,2.58
56.000000,2.57
56.041670,2.56
56.083340,2.55
56.125000,2.55
56.166670,2.54
56.208340,2.54
56.250000,2.55
56.291670,2.57
56.333340,2.6
56.375000,2.62
56.416670,2.63
56.458340,2.66
56.500000,2.69
56.541670,2.7
56.583340,2.69
56.625000,2.69
56.666670,2.68
56.708340,2.67
56.750000,2.66
56.791670,2.65
56.833340,2.64
56.875000,2.64
56.916670,2.63
56.958340,2.63
57.000000,2.62
57.041670,2.62
57.083340,2.62
57.125000,2.61
57.166670,2.61
57.208340,2.6
57.250000,2.6
57.291670,2.59
57.333340,2.6
57.375000,2.59
57.416670,2.57
57.458340,2.55
57.500000,2.54
57.541670,2.53
57.583340,2.52
57.625000,2.5
57.666670,2.46
57.708340,2.43
57.750000,2.4
57.791670,2.39
57.833340,2.38
57.875000,2.39
57.916670,2.37
57.958340,2.36
58.000000,2.34
58.041670,2.32
58.083340,2.3
58.125000,2.29
58.166670,2.27
58.208340,2.28
58.250000,2.28
58.291670,2.28
58.333340,2.27
58.375000,2.28
58.416670,2.28
58.458340,2.29
58.500000,2.3
58.541670,2.32
58.583340,2.33
58.625000,2.32
58.666670,2.32
58.708340,2.31
58.750000,2.31
58.791670,2.32
58.833340,2.34
58.875000,2.36
58.916670,2.37
58.958340,2.37
59.000000,2.35
59.041670,2.31
59.083340,2.29
59.125000,2.26
59.166670,2.23
59.208340,2.23
59.250000,2.23
59.291670,2.26
59.333340,2.3
59.375000,2.32
59.416670,2.33
59.458340,2.35
59.500000,2.37
59.541670,2.4
59.583340,2.41
59.625000,2.42
59.666670,2.45
59.708340,2.46
59.750000,2.46
59.791670,2.47
59.833340,2.48
59.875000,2.5
59.916670,2.51
59.958340,2.48
60.000000,2.5
60.041670,2.48
60.083340,2.47
60.125000,2.44
60.166670,2.4
60.208340,2.36
60.250000,2.32
60.291670,2.3
60.333340,2.29
60.375000,2.28
60.416670,2.28
60.458340,2.26
60.500000,2.26
60.541670,2.26
60.583340,2.25
60.625000,2.25
60.666670,2.25
60.708340,2.26
60.750000,2.28
60.791670,2.29
60.833340,2.32
60.875000,2.33
60.916670,2.34
60.958340,2.35
61.000000,2.36
61.041670,2.28
61.083340,2.24
61.125000,2.22
61.166670,2.21
61.208340,2.23
61.250000,2.23
61.291670,2.27
61.333340,2.32
61.375000,2.33
61.416670,2.33
61.458340,2.31
61.500000,2.29
61.541670,2.28
61.583340,2.28
61.625000,2.29
61.666670,2.29
61.708340,2.3
61.750000,2.31
61.791670,2.31
61.833340,2.33
61.875000,2.33
61.916670,2.36
61.958340,2.39
62.000000,2.39
62.041670,2.38
62.083340,2.38
62.125000,2.39
62.166670,2.37
62.208340,2.38
62.250000,2.37
62.291670,2.39
62.333340,2.42
62.375000,2.45
62.416670,2.47
62.458340,2.47
62.500000,2.45
62.541670,2.44
62.583340,2.44
62.625000,2.45
62.666670,2.46
62.708340,2.47
62.750000,2.48
62.791670,2.49
62.833340,2.5
62.875000,2.5
62.916670,2.53
62.958340,2.51
63.000000,2.49
63.041670,2.48
63.083340,2.48
63.125000,2.48
63.166670,2.47
63.208340,2.47
63.250000,2.49
63.291670,2.52
63.333340,2.55
63.375000,2.57
63.416670,2.57
63.458340,2.56
63.500000,2.58
63.541670,2.6
63.583340,2.62
63.625010,2.63
63.666670,2.62
63.708340,2.62
63.750010,2.61
63.791670,2.6
63.833340,2.6
63.875010,2.6
63.916670,2.6
63.958340,2.6
64.000010,2.58
64.041670,2.54
64.083340,2.52
64.125010,2.5
64.166670,2.48
64.208340,2.47
64.250010,2.46
64.291670,2.45
64.333340,2.46
64.375010,2.46
64.416670,2.47
64.458340,2.47
64.500010,2.49
64.541670,2.5
64.583340,2.5
64.625010,2.5
64.666670,2.5
64.708340,2.5
64.750010,2.48
64.791670,2.47
64.833340,2.47
64.875010,2.47
64.916670,2.48
64.958340,2.48
65.000010,2.49
65.041670,2.49
65.083340,2.47
