$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
823.000000,1247.092
824.000000,1601.926
825.000000,1844.137
826.000000,1750.261
827.000000,1932.691
828.000000,2186.218
829.000000,2178.723
830.000000,2168.272
831.000000,1989.74
832.000000,1885.61
833.000000,1818.442
834.000000,1761.224
835.000000,1815.819
836.000000,1680.033
837.000000,1650.284
838.000000,1683.223
839.000000,1406.545
840.000000,1443.449
841.000000,1401.207
842.000000,1398.069
843.000000,1516.165
844.000000,1584.198
845.000000,1623.453
846.000000,1450.845
847.000000,1361.6
848.000000,1338.724
849.000000,1532.005
850.000000,1585.193
851.000000,1750.279
852.000000,1897.504
853.000000,1828.185
854.000000,1696.609
855.000000,1616.758
856.000000,1587.498
857.000000,1670.859
858.000000,1722.738
859.000000,1882.647
860.000000,2228.385
861.000000,2424.891
862.000000,2823.532
863.000000,3072.02
864.000000,3134.47
865.000000,3344.568
866.000000,3600.752
867.000000,3703.641
868.000000,3374.795
869.000000,2944.28
870.000000,2677.208
871.000000,2619.734
872.000000,2359.76
873.000000,2249.306
874.000000,2232.552
875.000000,2143.71
876.000000,2075.008
877.000000,1928.296
878.000000,1917.975
879.000000,1857.953
880.000000,1721.691
881.000000,1798.626
882.000000,1938.292
883.000000,2014.548
884.000000,2001.411
885.000000,1978.814
886.000000,1758.051
887.000000,1741.314
888.000000,1798.291
889.000000,1803.158
890.000000,1753.432
891.000000,1900.396
892.000000,2025.765
893.000000,2059.782
894.000000,1964.286
895.000000,1870.6
896.000000,1676.972
897.000000,1634.99
898.000000,1557.701
899.000000,1474.15
900.000000,1249.307
901.000000,1291.479
902.000000,1463.075
903.000000,1504.138
904.000000,1440.661
905.000000,1540.191
906.000000,1248.141
907.000000,1218.703
908.000000,1275.774
909.000000,1332.521
910.000000,1310.11
911.000000,1302.031
912.000000,1286.41
913.000000,1320.013
914.000000,1311.929
915.000000,1314.958
916.000000,1317.53
917.000000,1303.444
918.000000,1175.694
919.000000,1205.415
920.000000,1045.74
921.000000,1118.527
922.000000,1013.876
923.000000,1061.919
924.000000,1004.33
925.000000,918.482
926.000000,919.925
927.000000,962.206
928.000000,807.321
929.000000,941.461
930.000000,933.144
931.000000,881.318
932.000000,905.968
933.000000,827.691
934.000000,925.765
935.000000,807.114
936.000000,809.92
937.000000,770.317
938.000000,790.686
939.000000,862.409
940.000000,867.269
941.000000,673.422
942.000000,752.745
943.000000,784.835
944.000000,725.973
945.000000,756.211
946.000000,765.611
947.000000,778.752
948.000000,845.504
949.000000,713.381
950.000000,725.095
951.000000,813.06
952.000000,705.306
953.000000,688.465
954.000000,730.126
955.000000,727.983
956.000000,657.299
957.000000,646.378
958.000000,751.236
959.000000,690.278
960.000000,636.853
961.000000,622.973
962.000000,652.194
963.000000,622.817
964.000000,558.098
965.000000,628.192
966.000000,585.566
967.000000,518.462
968.000000,584.265
969.000000,591.726
970.000000,618.121
971.000000,610.68
972.000000,643.002
973.000000,629.473
974.000000,602.665
975.000000,563.209
976.000000,603.295
977.000000,408.916
978.000000,374.215
979.000000,439.728
980.000000,451.027
981.000000,597.022
982.000000,719.241
983.000000,559.72
984.000000,604.067
985.000000,654.005
986.000000,788.997
987.000000,629.9
988.000000,637.783
989.000000,643.388
990.000000,625.993
991.000000,542.562
992.000000,563.277
993.000000,530.501
994.000000,430.895
995.000000,609.651
996.000000,811.732
997.000000,510.226
998.000000,332.192
999.000000,375.072
1000.000000,456.728
1001.000000,496.371
1002.000000,538.608
1003.000000,525.853
1004.000000,685.626
1005.000000,674.296
1006.000000,739.542
1007.000000,923.412
1008.000000,820.19
1009.000000,913.056
1010.000000,730.768
1011.000000,803.874
1012.000000,664.849
1013.000000,700.994
1014.000000,851.106
1015.000000,745.309
1016.000000,715.623
1017.000000,743.021
1018.000000,703.518
1019.000000,636.8
1020.000000,654.041
1021.000000,596.532
1022.000000,641.013
1023.000000,739.704
1024.000000,469.789
1025.000000,416.472
1026.000000,675.806
1027.000000,594.057
