$ QGT_IHR_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_IHR_2011_2015_daily_ave.csv ; all outlets scaled to total flow from ICE HARBOR_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 42038, 42296, 42367 that are  6, 15, 2 days long
"JDAY","POW","SPB1","SPB2.RSW","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","SPB9","SPB10","MISC"
213.000000,290.063,0,245.728,0,276.339,2.039,269.188,98.806,117.173,109.381,106.738,21.787
214.000000,267.819,0,195.096,0,251.725,72.04,214.725,210.592,91.74,90.098,84.734,17.702
215.000000,234.082,0,201.334,0,259.522,1.036,219.517,217.533,95.669,88.847,87.497,16.474
216.000000,276.856,0,221.426,0,281.839,82.954,241.377,226.939,92.127,86.386,100.323,21.647
217.000000,332.907,0,279.149,0,244.128,7.013,252.052,76.715,75.538,89.859,103.543,31.704
218.000000,321.25,0,268.314,0,289.939,0,288.983,51.787,79.249,96.441,110.438,25.104
219.000000,269.223,0,225.273,0,243.454,0,242.646,25.928,66.079,74.67,82.301,25.196
220.000000,241.756,0,201.283,0,217.527,0,216.815,18.225,60.035,63.271,63.963,24.29
221.000000,242.81,0,202.461,0,229.198,0,219.184,85.291,64.601,88.403,88.224,21.235
222.000000,252.991,0,210.97,0,230.163,0,173.891,61.996,72.261,99.451,98.663,18.87
223.000000,320.825,0,269.932,0,294.526,0,291.488,14.004,11.871,16.754,17.54,28.194
224.000000,285.032,0,240.251,0,267.507,0,266.61,30.346,30.554,60.305,69.056,29.182
225.000000,244.127,0,204.308,0,223.876,0,220.421,38.091,39.863,46.814,46.961,24.397
226.000000,255.52,0,213.201,0,232.636,0,200.25,15.902,12.893,51.17,51.098,24.592
227.000000,285.92,0,240.4,0,265.551,0,163.588,9.364,27.468,49.578,46.371,23.001
228.000000,261.529,0,219.146,0,239.053,0,236.636,9.618,55.724,58.487,57.521,19.467
229.000000,225.289,0,188.971,0,206.191,0,204.066,0,48.523,42.051,40.901,20.134
230.000000,298.383,0,250.907,0,286.639,0,276.557,0,0,0,19.536,25.006
231.000000,289.601,0,243.348,0,278.001,0,277.767,0,0,0,52.415,25.785
232.000000,252.537,0,212.49,0,242.753,0,242.543,0,0,0,45.772,15.197
233.000000,245.38,0,205.257,0,233.839,0,234.049,0,0,0,39.962,22.151
234.000000,268.523,0,224.877,0,253.361,0,253.581,0,10.286,10.331,34.138,19.605
235.000000,270.235,0,227.867,0,250.85,0.309,135.76,25.629,37.585,37.747,49.093,21.279
236.000000,269.561,0,228.584,0,254.911,0,254.328,12.6,11.48,12.765,50.286,21.754
237.000000,229.477,0,184.397,0,201.236,0,198.719,39.393,39.685,76.948,76.401,17.343
238.000000,247.735,0,212.184,0,145.229,0,137.208,29.553,35.013,48.029,47.885,19.862
239.000000,302.89,0,264.061,0,289.247,0,289.576,15.129,23.666,39.714,47.568,23.29
240.000000,275.809,0,230.068,0,250.904,0,81.382,0,21.365,32.542,51.371,26.279
241.000000,275.099,0,228.717,0,250.952,0,136.892,0,19.787,24.698,25.056,25.605
242.000000,252.541,0,208.707,0,231.513,0,229.681,18.451,24.405,23.381,29.85,17.818
243.000000,234.269,0,190.829,0,215.29,0,207.774,14.857,14.968,14.844,42.612,18.204
244.000000,1003.011,0,6.109,0,0,0,0,0,0,0,0,35.755
245.000000,1045.736,0,0,0,0,0,0,0,0,0,0,37.426
246.000000,984.915,0,0,0,0,0,0,0,0,0,0,30.089
247.000000,662.586,0,0,0,0,0,0,0,0,0,0,16.414
248.000000,708.941,0,0,0,0,0,0,0,0,0,0,15.175
249.000000,789.867,0,0,0,0,0,0,0,0,0,0,15.026
250.000000,1071.29,0,0,0,0,0,0,0,0,0,0,30.143
251.000000,1250.356,0,0,0,0,0,0,0,0,0,0,31.275
252.000000,948.729,0,0,0,0,0,0,0,0,0,0,15.299
253.000000,927.529,0,0,0,0,0,0,0,0,0,0,16.769
254.000000,1083.529,0,0,0,0,0,0,0,0,0,0,28.224
255.000000,1258.233,0,0,0,0,0,0,0,0,0,0,18.273
256.000000,750.217,0,0,0,0,0,0,0,0,0,0,16.335
257.000000,1097.215,0,0,0,0,0,0,0,0,0,0,20.417
258.000000,1039.943,0,0,0,0,0,0,0,0,0,0,22.436
259.000000,1103.266,0,0,0,0,0,0,0,0,0,0,16.724
260.000000,1188.033,0,0,0,0,0,0,0,0,0,0,22.194
261.000000,1214.641,0,0,0,0,0,0,0,0,0,0,23.98
262.000000,1212.178,0,0,0,0,0,0,0,0,0,0,25.292
263.000000,1192.064,0,0,0,0,0,0,0,0,0,0,28.846
264.000000,1145.517,0,0,0,0,0,0,0,0,0,0,30.265
265.000000,947.942,0,0,0,0,0,0,0,0,0,0,24.908
266.000000,881.638,0,0,0,0,0,0,0,0,0,0,28.929
267.000000,885.618,0,0,0,0,0,0,0,0,0,0,47.414
268.000000,656.096,0,0,0,0,0,0,0,0,0,0,27.626
269.000000,751.551,0,0,0,0,0,0,0,0,0,0,17.789
270.000000,362.338,0,0,0,0,0,0,0,0,0,0,9.704
271.000000,814.922,0,0,0,0,0,0,0,0,0,0,19.645
272.000000,830.031,0,0,0,0,0,0,0,0,0,0,12.846
273.000000,816.609,0,0,0,0,0,0,0,0,0,0,12.905
274.000000,852.218,0,0,0,0,0,0,0,0,0,0,21.497
275.000000,1055.335,0,0,0,0,0,0,0,0,0,0,28.419
276.000000,849.325,0,0,0,0,0,0,0,0,0,0,16.929
277.000000,688.582,0,0,0,0,0,0,0,0,0,0,17.574
278.000000,714.586,0,0,0,0,0,0,0,0,0,0,17.731
279.000000,925.753,0,0,0,0,0,0,0,0,0,0,21.271
280.000000,817.304,0,0,0,0,0,0,0,0,0,0,13.646
281.000000,957.992,0,0,0,0,0,0,0,0,0,0,22.297
282.000000,901.629,0,0,0,0,0,0,0,0,0,0,20.498
283.000000,1095.517,0,0,0,0,0,0,0,0,0,0,20.596
284.000000,680.253,0,0,0,0,0,0,0,0,0,0,21.023
285.000000,683.488,0,0,0,0,0,0,0,0,0,0,15.883
286.000000,727.543,0,0,0,0,0,0,0,0,0,0,23.137
287.000000,719.894,0,0,0,0,0,0,0,0,0,0,23.536
288.000000,838.11,0,0,0,0,0,0,0,0,0,0,22.207
289.000000,349.652,0,0,0,0,0,0,0,0,0,0,8.475
290.000000,851.363,0,0,0,0,0,0,0,0,0,0,14.855
291.000000,704.227,0,0,0,0,0,0,0,0,0,0,27.545
292.000000,900.418,0,0,0,0,0,0,0,0,0,0,31.362
293.000000,817.165,0,0,0,0,0,0,0,0,0,0,35.756
294.000000,750.574,0,0,0,0,0,0,0,0,0,0,24.506
295.000000,603.497,0,0,0,0,0,0,0,0,0,0,19.71
296.000000,586.464,0,0,0,0,0,0,0,0,0,0,18.704
297.000000,758.384,0,0,0,0,0,0,0,0,0,0,22.214
298.000000,729.409,0,0,0,0,0,0,0,0,0,0,25.038
299.000000,690.766,0,0,0,0,0,0,0,0,0,0,22.391
300.000000,580.4,0,0,0,0,0,0,0,0,0,0,15.221
