$ QGT_JDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_JDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from JOHN DAY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41754, 41974, 42024, 42055, 42172, 42192, 42223, 42265, 42285, 42296, 42321, 42328 that are  1009, 2, 2, 3, 3, 3, 4, 3, 3, 3, 24, 6, 4 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","MISC"
145.000000,8633.602,0,297.206,299.412,244.433,257.82,269.956,282.875,254.437,269.998,255.589,261.513,262.293,264.15,271.426,296.923,309.371,322.045,524.104,524.104,245.711,0
146.000000,8768.48,0,237.691,239.079,191.902,226.477,219.659,241.519,210.362,235.198,210.63,230.617,222.648,219.255,220.475,238.739,263.355,303.756,500.611,500.611,215.115,0
147.000000,8853.127,0,246.292,254.64,213.379,239.34,226.001,248.313,235.637,244.811,226.356,212.944,240.563,224.479,249.085,260.18,280.696,296.815,489.052,489.052,213.998,0
148.000000,8246.829,0,281.02,279.895,215.414,230.014,240.199,270.038,249.254,251.801,243.492,241.964,244.163,249.767,267.242,285.105,289.042,283.612,492.343,492.343,234.842,0
149.000000,8612.098,0,292.53,281.195,211.649,240.712,251.346,267.18,257.563,263.564,250.767,232.607,247.275,255.754,266.924,290.987,294.438,302.445,525.415,525.415,241.789,0
150.000000,9304.751,0,237.747,249.358,217.293,236.145,202.522,211.69,209.485,211.481,218.108,200.088,200.683,206.279,200.499,219.001,258.281,294.242,577.589,577.589,242.91,0
151.000000,9338.39,0,258.47,226.489,178.912,219.837,178.427,209.937,203.116,208.482,199.917,174.321,188.099,190.496,199.95,211.416,252.492,261.978,554.675,554.675,219.372,0
152.000000,8630.437,0,304.489,271.97,208.094,239.353,228.591,252.306,236.653,237.357,219.74,248.949,236.794,238.634,244.683,246.573,278.948,286.933,553.232,553.232,239.533,0
153.000000,8271.265,0,284.662,286.32,233.777,255.338,248.76,262.951,241.97,243.498,239.159,241.006,251.548,246.519,254.593,258.398,294.093,301.746,529.713,529.713,241.701,0
154.000000,8840.111,0,251.634,261.029,204.41,229.621,175.68,224.725,200.451,214.994,200.65,212.256,212.037,212.707,214.654,229.32,264.079,280.987,579.137,579.137,227.21,0
155.000000,9279.375,0,246.853,228.56,179.839,189.897,156.117,200.402,190.398,191.457,186.078,178.293,181.592,185.83,196.744,203.072,245.521,250.45,568.364,568.364,216.692,0
156.000000,8846.934,0,293.962,250.571,204.887,228.288,214.577,252.337,242.988,247.034,219.908,212.735,221.925,224.518,232.769,257.89,272.579,285.387,579.136,579.136,228.97,0
157.000000,8901.506,0,304.367,278.232,233.001,251.701,248.207,266.588,253.814,270.8,249.133,235.906,239.629,245.264,258.919,268.924,304,330.713,615.578,615.578,261.47,0
158.000000,9469.019,0,255.635,244.68,205.803,204.129,172.429,211.598,199.728,204.659,197.654,197.435,201.694,197.688,212.512,222.044,261.664,281.605,623.677,623.677,233.71,0
159.000000,10019.771,0,264.916,211.401,150.137,168.3,160.341,198.198,187.491,200.042,179.064,163.311,165.15,169.678,188.96,190.429,224.355,233.684,622.665,622.665,217.521,0
160.000000,9057.887,0,297.231,253.122,184.722,209.408,216.943,245.642,225.127,222.29,212.259,203.1,207.722,220.06,234.587,238.637,274.578,261.367,582.39,582.39,234.319,0
161.000000,8697.905,0,314.212,274.296,218.689,240.287,217.924,262.806,245.904,254.813,231.739,234.317,238.903,237.291,260.177,266.231,310.916,317.934,648.007,648.007,244.932,0
162.000000,9341.576,0,267.144,240.521,174.058,196.253,158.342,207.597,195.656,206.291,197.614,192.253,195.841,193.873,204.122,217.537,249.999,269.224,652.004,652.004,217.561,0
163.000000,9626.336,0,234.031,183.365,157.746,115.603,101.731,177.151,172.493,175.644,162.335,150.436,151.037,153.602,167.949,172.525,205.862,230.865,714.541,714.541,229.534,0
164.000000,8833.558,0,303.339,206.155,154.017,200.544,177.578,227.817,198.432,223.926,182.23,156.14,184.532,187.654,197.951,216.795,249.673,276.751,701.082,701.082,244.414,0
