$JDA Elev-Tailwater CBT-REV [m => ft NAVD88],,
CY 2011-2015,,12/31/2010
JDAY,ElevFT,
41472,165.2657526,
41473,165.1443615,
41474,165.3051226,
41475,165.2460675,
41476,165.0131279,
41477,165.4954114,
41478,164.5242827,
41479,164.4849126,
41480,165.0557788,
41481,165.1443615,
41482,164.5538103,
41483,164.416015,
41484,164.6259888,
41485,164.4455426,
41486,164.8950176,
41487,165.0754638,
41488,164.6555163,
41489,164.744099,
41490,164.8753326,
41491,164.5439678,
41492,164.6752014,
41493,164.4947552,
41494,164.3241515,
41495,164.6358313,
41496,164.0944927,
41497,164.0649651,
41498,164.8851751,
41499,164.6653588,
41500,164.5341252,
41501,163.904204,
41502,164.6555163,
41503,164.4553851,
41504,164.1633903,
41505,164.2847814,
41506,164.1043352,
41507,164.0452801,
41508,164.1141777,
41509,163.8549914,
41510,163.943574,
41511,163.8353063,
41512,164.3241515,
41513,164.0846502,
41514,164.3044664,
41515,164.353679,
41516,164.2355688,
41517,163.9632591,
41518,164.0157525,
41519,164.0551226,
41520,164.0452801,
41521,163.8549914,
41522,163.943574,
41523,163.8746764,
41524,164.025595,
41525,163.6647026,
41526,163.9337315,
41527,164.4849126,
41528,164.6752014,
41529,164.2355688,
41530,164.1961987,
41531,164.0157525,
41532,163.943574,
41533,163.8451488,
41534,164.5734953,
41535,164.0354376,
41536,164.0452801,
41537,164.1437053,
41538,163.8451488,
41539,164.0748076,
41540,164.1961987,
41541,163.8156213,
41542,163.8943614,
41543,163.943574,
41544,163.904204,
41545,164.0354376,
41546,163.8353063,
41547,163.7434428,
41548,164.2158838,
41549,164.3438365,
41550,164.0551226,
41551,164.0944927,
41552,163.7040727,
41553,163.7237578,
41554,163.8353063,
41555,164.1535478,
41556,163.943574,
41557,164.1338628,
41558,164.2650964,
41559,164.1043352,
41560,163.9632591,
41561,164.0748076,
41562,163.923889,
41563,164.1437053,
41564,164.1535478,
41565,163.904204,
41566,163.6843877,
41567,163.7237578,
41568,163.8549914,
41569,163.923889,
41570,164.1141777,
41571,163.6450176,
41572,163.7434428,
41573,163.8353063,
41574,164.0354376,
41575,164.2158838,
41576,164.0846502,
41577,163.7631278,
41578,163.8353063,
41579,163.7139152,
41580,163.7762512,
41581,163.9960675,
41582,164.1535478,
41583,163.9763824,
41584,164.0944927,
41585,164.0354376,
41586,163.943574,
41587,163.7139152,
41588,163.9140465,
41589,164.0452801,
41590,164.2060412,
41591,164.314309,
41592,164.1338628,
41593,164.0354376,
41594,164.0452801,
41595,163.6843877,
41596,163.8943614,
41597,163.8451488,
41598,164.0354376,
41599,164.4455426,
41600,164.6456738,
41601,163.8451488,
41602,163.3563037,
41603,163.6647026,
41604,163.4744139,
41605,163.4842564,
41606,163.5859625,
41607,163.6450176,
41608,163.4448864,
41609,163.1463299,
41610,163.595805,
41611,164.0748076,
41612,163.9632591,
41613,163.9534166,
41614,164.0354376,
41615,164.1535478,
41616,164.0944927,
41617,163.9534166,
41618,163.904204,
41619,163.9763824,
41620,163.6056475,
41621,163.7336003,
41622,163.6548601,
41623,163.3661462,
41624,163.4055163,
41625,163.7959362,
41626,163.9763824,
41627,163.7762512,
41628,163.9763824,
41629,163.8057788,
41630,163.7860937,
41631,163.7959362,
41632,163.7040727,
41633,163.6745452,
41634,163.8254638,
41635,163.3858312,
41636,163.57612,
41637,163.595805,
41638,163.6253326,
41639,163.6351751,
41640,163.61549,
41641,163.5531541,
41642,163.6942302,
41643,163.4055163,
41644,163.6843877,
41645,163.9960675,
41646,163.9632591,
41647,163.8648339,
41648,164.2355688,
41649,164.1961987,
41650,163.494099,
41651,164.1338628,
41652,163.7762512,
41653,163.595805,
41654,163.8156213,
41655,163.7532853,
41656,163.7762512,
41657,163.6745452,
41658,163.8254638,
41659,163.8353063,
41660,163.7040727,
41661,163.7434428,
41662,163.7434428,
41663,163.6942302,
41664,163.2841252,
41665,163.5236265,
41666,163.4153588,
41667,163.6253326,
41668,163.0741514,
41669,163.6351751,
41670,163.7040727,
41671,163.9337315,
41672,163.8254638,
41673,163.9140465,
41674,163.6351751,
41675,163.7434428,
41676,163.7434428,
41677,163.8451488,
41678,163.7532853,
41679,163.4350438,
41680,163.533469,
41681,163.3759887,
41682,163.123364,
41683,163.2545976,
41684,164.0846502,
41685,164.0354376,
41686,163.8353063,
41687,164.2060412,
41688,163.8845189,
41689,163.6647026,
41690,163.6647026,
41691,163.4153588,
41692,163.6450176,
41693,163.5236265,
41694,163.4842564,
41695,163.5531541,
41696,163.4744139,
41697,163.5236265,
41698,163.4547289,
41699,163.6843877,
41700,164.1633903,
41701,164.0944927,
41702,164.4849126,
41703,164.4750701,
41704,164.6358313,
41705,165.4560413,
41706,165.8234954,
41707,165.6857001,
41708,165.9350439,
41709,166.9258576,
41710,166.794624,
41711,165.5938366,
41712,165.8858313,
41713,165.583994,
41714,165.3641778,
41715,165.7644402,
41716,165.8136528,
41717,165.8234954,
41718,165.9645715,
41719,165.954729,
41720,165.4232329,
41721,165.0951489,
41722,165.4232329,
41723,164.845805,
41724,165.1837316,
41725,165.1148339,
41726,165.0951489,
41727,165.0754638,
41728,165.64633,
41729,165.7053851,
41730,165.4855688,
41731,165.3444927,
41732,165.134519,
41733,164.9934428,
41734,165.6036791,
41735,165.25591,
41736,165.2460675,
41737,165.1148339,
41738,165.3444927,
41739,165.3346502,
41740,165.236225,
41741,165.134519,
41742,165.2263825,
41743,164.9836003,
41744,165.1935741,
41745,165.5347814,
41746,165.2952801,
41747,165.5052539,
41748,165.9448864,
41749,165.9055164,
41750,165.6857001,
41751,165.666015,
41752,165.9448864,
41753,165.64633,
41754,166.0662775,
41755,166.0958051,
41756,165.7644402,
41757,166.07612,
41758,166.5059101,
41759,165.8136528,
41760,165.3346502,
41761,165.544624,
41762,165.9055164,
41763,166.2040728,
41764,166.5157526,
41765,167.3950177,
41766,166.7650964,
41767,166.2959363,
41768,166.1647027,
41769,165.6561725,
41770,166.7158838,
41771,166.2860938,
41772,165.994099,
41773,165.6332066,
41774,165.7742828,
41775,166.3451489,
41776,166.8241516,
41777,167.2342566,
41778,167.4048602,
41779,167.595149,
41780,167.0734954,
41781,166.794624,
41782,167.7034167,
41783,167.595149,
41784,167.4934429,
41785,167.614834,
41786,168.3136529,
41787,168.1036792,
41788,167.5032854,
41789,167.5853064,
41790,167.185044,
41791,167.0439678,
41792,167.8149652,
41793,167.4737579,
41794,167.204729,
41795,167.3458051,
41796,167.3556476,
41797,166.8832067,
41798,166.6633904,
41799,166.6338628,
41800,166.486225,
41801,166.07612,
41802,165.6857001,
41803,165.5052539,
41804,165.7349127,
41805,164.82612,
41806,164.9540728,
41807,165.3149652,
41808,165.7250702,
