$Concentration file for segment 317

JDAY,      N2,      DO,
    35.750,   20.5540,   12.5518,
    35.800,   20.4988,   12.4942,
    35.850,   20.4238,   12.4169,
    35.900,   20.2716,   12.2608,
    35.950,   20.2172,   12.2038,
    36.000,   20.2169,   12.2038,
    36.050,   20.2318,   12.2192,
    36.100,   20.2442,   12.2328,
    36.150,   20.2670,   12.2570,
    36.200,   20.2730,   12.2633,
    36.250,   20.3835,   12.3775,
    36.300,   20.4453,   12.4410,
    36.350,   20.4755,   12.4720,
    36.400,   20.4654,   12.4615,
    36.450,   20.4600,   12.4559,
    36.500,   20.4569,   12.4527,
    36.550,   20.4412,   12.4366,
    36.600,   20.4301,   12.4251,
    36.650,   20.4454,   12.4412,
    36.700,   20.4690,   12.4655,
    36.750,   20.4870,   12.4833,
    36.800,   20.4757,   12.4706,
    36.850,   20.4572,   12.4507,
    36.900,   20.4463,   12.4387,
    36.950,   20.4428,   12.4346,
    37.000,   20.4367,   12.4278,
    37.050,   20.4425,   12.4333,
    37.100,   20.4340,   12.4239,
    37.150,   20.4359,   12.4257,
    37.200,   20.4491,   12.4391,
    37.250,   20.4482,   12.4379,
    37.300,   20.4627,   12.4521,
    37.350,   20.4763,   12.4653,
    37.400,   20.4717,   12.4591,
    37.450,   20.4559,   12.4417,
    37.500,   20.4362,   12.4205,
    37.550,   20.4338,   12.4172,
    37.600,   20.4514,   12.4341,
    37.650,   20.4728,   12.4550,
    37.700,   20.5048,   12.4867,
    37.750,   20.5145,   12.4950,
    37.800,   20.5183,   12.4975,
    37.850,   20.5100,   12.4879,
    37.900,   20.4980,   12.4748,
    37.950,   20.4852,   12.4612,
    38.000,   20.3495,   12.3250,
    38.050,   20.3504,   12.3259,
    38.100,   20.3399,   12.3155,
    38.150,   20.3629,   12.3386,
    38.200,   20.5070,   12.4818,
    38.250,   20.5796,   12.5532,
    38.300,   20.6124,   12.5842,
    38.350,   20.5915,   12.5615,
    38.400,   20.5704,   12.5388,
    38.450,   20.5460,   12.5133,
    38.500,   20.5278,   12.4943,
    38.550,   20.4930,   12.4591,
    38.600,   20.4967,   12.4622,
    38.650,   20.5162,   12.4809,
    38.700,   20.5580,   12.5217,
    38.750,   20.5446,   12.5078,
    38.800,   20.5156,   12.4782,
    38.850,   20.4849,   12.4470,
    38.900,   20.4545,   12.4163,
    38.950,   20.4335,   12.3947,
    39.000,   20.4103,   12.3711,
    39.050,   20.4474,   12.4072,
    39.100,   20.4554,   12.4140,
    39.150,   20.4719,   12.4294,
    39.200,   20.4915,   12.4478,
    39.250,   20.4963,   12.4517,
    39.300,   20.4888,   12.4436,
    39.350,   20.4782,   12.4324,
    39.400,   20.4733,   12.4263,
    39.450,   20.4702,   12.4212,
