$Lake Roosevelt Model year 2011-2015,,,
Constituent input file for Columbia River (usbc of branch 1),,,
jday,N2,DO,
1147,21.11,13.2,
1148,20.77,12.98,
1149,20.91,13.07,
1150,20.63,12.88,
1151,20.63,12.91,
1152,20.92,13.15,
1153,20.79,13.01,
1154,21.16,13.25,
1155,21.11,13.21,
1156,20.9,13.05,
1157,21.08,13.19,
1158,21.2,13.3,
1159,21.29,13.39,
1160,21.43,13.47,
1161,21.32,13.4,
1162,21.03,13.2,
1163,21.01,13.15,
1164,21.37,13.43,
1165,21.39,13.45,
1166,21.15,13.26,
1167,21.32,13.35,
1168,21.41,13.39,
1169,21.32,13.33,
1170,21.16,13.23,
1171,21.71,13.57,
1172,21.71,13.56,
1173,22.14,13.77,
1174,21.72,13.51,
1175,21.29,13.27,
1176,21.14,13.14,
1177,21.02,13.05,
1178,20.95,13.04,
1179,20.99,13.04,
1180,21.3,13.24,
1181,21.39,13.3,
1182,21.19,13.16,
1183,21.06,13.11,
1184,21.15,13.18,
1185,20.99,13.03,
1186,21.05,13.06,
1187,21.06,13.06,
1188,21,13,
1189,20.73,12.82,
1190,20.79,12.87,
1191,20.9,12.91,
1192,20.84,12.91,
1193,20.72,12.8,
1194,20.78,12.85,
1195,20.77,12.84,
1196,20.7,12.76,
1197,20.7,12.75,
1198,20.59,12.68,
1199,20.48,12.61,
1200,21.26,13.08,
1201,21.48,13.2,
1202,21.07,12.95,
1203,21.3,13.15,
1204,21.16,13.08,
1205,21.07,12.96,
1206,21.36,13.15,
1207,21.37,13.13,
1208,21.69,13.39,
1209,21.52,13.26,
1210,21.47,13.24,
1211,21.72,13.41,
1212,21.86,13.52,
1213,21.95,13.54,
1214,21.87,13.5,
1215,21.92,13.51,
1216,22.06,13.59,
1217,22.02,13.56,
1218,21.96,13.53,
1219,22.41,13.77,
1220,22.11,13.59,
1221,22.02,13.54,
1222,22.17,13.63,
1223,22.25,13.66,
1224,22.5,13.76,
1225,22.2,13.66,
1226,22.16,13.59,
1227,22.18,13.62,
1228,22.23,13.6,
1229,22.14,13.55,
1230,22.07,13.55,
1231,22.07,13.54,
1232,21.85,13.4,
1233,21.75,13.38,
1234,21.9,13.42,
1235,21.83,13.36,
1236,21.75,13.3,
1237,21.89,13.39,
1238,22.08,13.51,
1239,22.15,13.56,
1240,21.95,13.43,
