SEGMENT#, BRANCH#, XC, YC, UTMZONE
295, 14,   382425.82370,  5303480.52690, 11
294, 14,   383384.46299,  5303655.75888, 11
293, 14,   384014.86771,  5304325.70405, 11
292, 14,   384266.19669,  5305289.85176, 11
291, 14,   384568.09528,  5306232.32030, 11
290, 14,   385159.55505,  5307018.47564, 11
289, 14,   386003.75529,  5307514.01040, 11
288, 14,   386964.85612,  5307553.24162, 11
287, 14,   387897.40390,  5307208.38593, 11
286, 14,   388790.11750,  5306755.81197, 11
285, 14,   389706.71052,  5306358.29967, 11
284, 14,   390675.81786,  5306147.47916, 11
283, 14,   391675.09984,  5306113.28679, 11
282, 14,   392670.27156,  5306193.86849, 11
281, 14,   393652.20306,  5306383.52438, 11
280, 14,   394638.61582,  5306463.39682, 11
279, 14,   395600.87082,  5306238.89941, 11
278, 14,   396409.22481,  5305686.81919, 11
277, 14,   396977.44922,  5304876.56569, 11
276, 14,   397270.95466,  5303933.06775, 11
334, 15,   417679.17715,  5395740.08026, 11
333, 15,   417722.64199,  5396204.05188, 11
332, 15,   417888.34889,  5396672.49865, 11
331, 15,   417887.56862,  5397162.44189, 11
330, 15,   417766.95561,  5397648.59805, 11
329, 15,   417629.34424,  5398130.44666, 11
328, 15,   417521.10174,  5398618.65288, 11
327, 15,   417578.12960,  5399098.02405, 11
326, 15,   417620.37763,  5399574.65708, 11
325, 15,   417569.87120,  5400070.09237, 11
324, 15,   417544.07758,  5400569.59660, 11
323, 15,   417417.47116,  5401049.02244, 11
322, 15,   417230.15160,  5401513.70749, 11
321, 15,   417311.93070,  5401931.25542, 11
320, 15,   417634.35760,  5402314.05414, 11
340, 16,   420247.98278,  5385834.02392, 11
339, 16,   420550.64890,  5385319.33684, 11
338, 16,   420894.57808,  5384828.91486, 11
337, 16,   421220.93537,  5384327.06571, 11
346, 17,   419212.37805,  5380343.37454, 11
345, 17,   419630.59898,  5380314.38586, 11
344, 17,   420044.76086,  5380250.00956, 11
343, 17,   420431.30751,  5380314.69136, 11
360, 18,   430214.99653,  5297137.86910, 11
359, 18,   430455.11845,  5297067.72683, 11
358, 18,   430689.01600,  5296975.87360, 11
357, 18,   430928.55350,  5296901.98494, 11
356, 18,   431165.16126,  5296821.15139, 11
355, 18,   431383.16569,  5296698.00274, 11
354, 18,   431610.94563,  5296647.25715, 11
353, 18,   431854.20499,  5296706.99213, 11
352, 18,   432087.60541,  5296799.07947, 11
351, 18,   432301.73403,  5296927.66640, 11
350, 18,   432490.94973,  5297092.21931, 11
349, 18,   432669.45440,  5297269.08859, 11
374, 19,   427447.29712,  5297965.86130, 11
373, 19,   427688.06696,  5297997.53395, 11
372, 19,   427938.21313,  5297976.42081, 11
371, 19,   428187.39450,  5297949.10062, 11
370, 19,   428431.09020,  5297889.66988, 11
369, 19,   428673.51207,  5297824.08806, 11
368, 19,   428919.92723,  5297775.62253, 11
367, 19,   429161.16171,  5297710.36192, 11
366, 19,   429374.50315,  5297584.15388, 11
365, 19,   429573.70814,  5297431.39182, 11
364, 19,   429792.02159,  5297309.50444, 11
363, 19,   430030.19859,  5297233.41889, 11
388, 20,   425015.53289,  5297049.41569, 11
387, 20,   425056.79496,  5297297.21529, 11
386, 20,   425123.60753,  5297538.62669, 11
385, 20,   425217.92398,  5297771.37923, 11
384, 20,   425320.39010,  5298000.82934, 11
383, 20,   425430.75495,  5298226.41511, 11
382, 20,   425555.55978,  5298444.39126, 11
381, 20,   425694.23697,  5298653.76645, 11
380, 20,   425831.83975,  5298863.79301, 11
379, 20,   425974.46215,  5299070.04309, 11
378, 20,   426145.20332,  5299253.32112, 11
377, 20,   426337.11790,  5299415.22996, 11
402, 21,   423516.65115,  5294747.52433, 11
401, 21,   423750.11416,  5294838.28999, 11
400, 21,   423958.42641,  5294975.00681, 11
399, 21,   424159.37216,  5295124.86859, 11
398, 21,   424380.78648,  5295241.77549, 11
397, 21,   424618.78764,  5295319.53774, 11
396, 21,   424863.41457,  5295377.02102, 11
395, 21,   425108.04150,  5295434.50431, 11
394, 21,   425349.98035,  5295501.67031, 11
393, 21,   425562.32312,  5295624.88944, 11
392, 21,   425702.80927,  5295825.89441, 11
391, 21,   425764.37114,  5296066.99021, 11
416, 22,   420670.24706,  5294023.37657, 11
415, 22,   420800.98716,  5293810.89426, 11
414, 22,   420997.22946,  5293669.54601, 11
413, 22,   421239.14190,  5293605.39834, 11
412, 22,   421476.17275,  5293529.67894, 11
411, 22,   421700.84556,  5293417.18636, 11
410, 22,   421936.58726,  5293340.57768, 11
409, 22,   422185.96376,  5293333.29291, 11
408, 22,   422436.21865,  5293356.07778, 11
407, 22,   422686.35337,  5293380.11333, 11
406, 22,   422936.09005,  5293407.89701, 11
405, 22,   423184.18446,  5293446.86499, 11
544, 23,   412658.01409,  5305943.58557, 11
543, 23,   412879.04870,  5306057.48017, 11
542, 23,   413114.98778,  5306143.81763, 11
541, 23,   413348.73875,  5306236.04326, 11
540, 23,   413563.80477,  5306360.84264, 11
539, 23,   413690.87011,  5306561.28114, 11
538, 23,   413727.04853,  5306809.03635, 11
537, 23,   413778.84420,  5307052.04601, 11
536, 23,   413851.74993,  5307291.97307, 11
535, 23,   413971.39723,  5307500.94141, 11
534, 23,   414173.80053,  5307645.68241, 11
533, 23,   414385.92030,  5307778.90622, 11
