$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,     %DO,  TDG(%),
    24.500,   96.1221,   98.9504,
    24.550,   96.1297,   98.9638,
    24.600,   96.1351,   98.9859,
    24.650,   96.1372,   98.9992,
    24.700,   96.1417,   99.0168,
    24.750,   96.1665,   99.0080,
    24.800,   96.2247,   99.0289,
    24.850,   96.2215,   99.0289,
    24.900,   96.1982,   99.0128,
    24.950,   96.1737,   99.0099,
    25.000,   96.1542,   99.0026,
    25.050,   96.1400,   98.9868,
    25.100,   96.1292,   98.9853,
    25.150,   96.1193,   98.9839,
    25.200,   96.1092,   98.9818,
    25.250,   96.0974,   98.9748,
    25.300,   96.0860,   98.9632,
    25.350,   96.0803,   98.9593,
    25.400,   96.0802,   98.9672,
    25.450,   96.0841,   98.9625,
    25.500,   96.1109,   98.9736,
    25.550,   96.1564,   98.9601,
    25.600,   96.1922,   98.9553,
    25.650,   96.2209,   98.9529,
    25.700,   96.2409,   98.9585,
    25.750,   96.2481,   98.9756,
    25.800,   96.2491,   98.9713,
    25.850,   96.2112,   98.9529,
    25.900,   96.1701,   98.9385,
    25.950,   96.1400,   98.9079,
    26.000,   96.1184,   98.9013,
    26.050,   96.0992,   98.8866,
    26.100,   96.0824,   98.8744,
    26.150,   96.0687,   98.8935,
    26.200,   96.0558,   98.8943,
    26.250,   96.0515,   98.8894,
    26.300,   96.0760,   98.8991,
    26.350,   96.1140,   98.9232,
    26.400,   96.1449,   98.9249,
    26.450,   96.1654,   98.9428,
    26.500,   96.1769,   98.9568,
    26.550,   96.1850,   98.9628,
    26.600,   96.1910,   98.9308,
    26.650,   96.1955,   98.9356,
    26.700,   96.1975,   98.9403,
    26.750,   96.1962,   98.9370,
    26.800,   96.1915,   98.9314,
    26.850,   96.1867,   98.9367,
    26.900,   96.1839,   98.9325,
    26.950,   96.1862,   98.9331,
    27.000,   96.1834,   98.9288,
    27.050,   96.1549,   98.9051,
    27.100,   96.1166,   98.8918,
    27.150,   96.0844,   98.8755,
    27.200,   96.0596,   98.8580,
    27.250,   96.0595,   98.8458,
    27.300,   96.0831,   98.8531,
    27.350,   96.0957,   98.8461,
    27.400,   96.0875,   98.8434,
    27.450,   96.0573,   98.8325,
    27.500,   96.0398,   98.8319,
    27.550,   96.0349,   98.8524,
    27.600,   96.0353,   98.8374,
    27.650,   96.0253,   98.8131,
    27.700,   96.0130,   98.7738,
    27.750,   95.9965,   98.7358,
    27.800,   95.9779,   98.6983,
    27.850,   95.9604,   98.6663,
    27.900,   95.9458,   98.6310,
    27.950,   95.9354,   98.6225,
    28.000,   95.9267,   98.6025,
    28.050,   95.9194,   98.6208,
    28.100,   95.9131,   98.6117,
    28.150,   95.9074,   98.5931,
    28.200,   95.9024,   98.5807,
    28.250,   95.8995,   98.5674,
    28.300,   95.9333,   98.5633,
    28.350,   95.9800,   98.5765,
    28.400,   96.0112,   98.5869,
    28.450,   96.0090,   98.5743,
    28.500,   95.9759,   98.5260,
    28.550,   95.9523,   98.4943,
    28.600,   95.9347,   98.4772,
    28.650,   95.9207,   98.4480,
    28.700,   95.9104,   98.4492,
    28.750,   95.9062,   98.4321,
    28.800,   95.9056,   98.4108,
    28.850,   95.9044,   98.4211,
    28.900,   95.9024,   98.4207,
    28.950,   95.8929,   98.4154,
    29.000,   95.8843,   98.4030,
    29.050,   95.8769,   98.4033,
    29.100,   95.8705,   98.3953,
    29.150,   95.8660,   98.3918,
    29.201,   95.8616,   98.3932,
    29.250,   95.8574,   98.3760,
    29.300,   95.8543,   98.3842,
    29.350,   95.8504,   98.3741,
    29.400,   95.8475,   98.3744,
    29.450,   95.8459,   98.3766,
    29.500,   95.8463,   98.3952,
    29.550,   95.8468,   98.4121,
    29.600,   95.8469,   98.4165,
    29.650,   95.8471,   98.4238,
    29.700,   95.8463,   98.4195,
    29.750,   95.8479,   98.3977,
    29.800,   95.8470,   98.4162,
    29.850,   95.8456,   98.3927,
    29.900,   95.8455,   98.3609,
    29.950,   95.8448,   98.3263,
    30.000,   95.8429,   98.3028,
    30.050,   95.8393,   98.2531,
    30.100,   95.8387,   98.2011,
    30.150,   95.8260,   98.1527,
    30.200,   95.8324,   98.1525,
    30.250,   95.8251,   98.1014,
    30.300,   95.8261,   98.0769,
    30.350,   95.8241,   98.0825,
    30.400,   95.8226,   98.0803,
    30.450,   95.8215,   98.1004,
    30.500,   95.8238,   98.1157,
    30.550,   95.8255,   98.1166,
    30.600,   95.8251,   98.1304,
    30.650,   95.8192,   98.1454,
    30.700,   95.8236,   98.1339,
    30.750,   95.8336,   98.1336,
    30.800,   95.8398,   98.1433,
    30.850,   95.8358,   98.1311,
    30.900,   95.8304,   98.1230,
    30.950,   95.8251,   98.1169,
    31.000,   95.8201,   98.1003,
    31.050,   95.8161,   98.0897,
    31.100,   95.8132,   98.0762,
    31.150,   95.8113,   98.0627,
    31.200,   95.8109,   98.0770,
    31.250,   95.8120,   98.0705,
    31.300,   95.8147,   98.0693,
    31.350,   95.8180,   98.0665,
    31.400,   95.8220,   98.0756,
    31.450,   95.8262,   98.0731,
    31.500,   95.8268,   98.0959,
    31.550,   95.8282,   98.1060,
    31.600,   95.8269,   98.1054,
    31.650,   95.8155,   98.1196,
    31.700,   95.8217,   98.0930,
    31.750,   95.8265,   98.1051,
    31.800,   95.8366,   98.1114,
    31.850,   95.8505,   98.0797,
    31.900,   95.8409,   98.0570,
    31.950,   95.8310,   98.0681,
    32.000,   95.8110,   98.1028,
    32.050,   95.8038,   98.0963,
    32.100,   95.7966,   98.0885,
    32.150,   95.7902,   98.0826,
    32.200,   95.7850,   98.0839,
    32.250,   95.7930,   98.0734,
    32.300,   95.8074,   98.0823,
    32.350,   95.8262,   98.1125,
    32.400,   95.8573,   98.1499,
    32.450,   95.8902,   98.1657,
    32.500,   95.9174,   98.1965,
    32.550,   95.9386,   98.1951,
    32.600,   95.9568,   98.1873,
    32.650,   95.9733,   98.1870,
    32.700,   95.9865,   98.1848,
    32.750,   95.9810,   98.1725,
    32.800,   95.9335,   98.1591,
    32.850,   95.8803,   98.1165,
    32.900,   95.8467,   98.1323,
    32.950,   95.8270,   98.1181,
    33.000,   95.8136,   98.1003,
    33.050,   95.8027,   98.0805,
    33.100,   95.7846,   98.0791,
    33.150,   95.7777,   98.0704,
    33.200,   95.7710,   98.0496,
    33.250,   95.7664,   98.0511,
    33.300,   95.7616,   98.0109,
    33.350,   95.7613,   98.0155,
    33.400,   95.7930,   98.0521,
    33.450,   95.8058,   98.0380,
    33.500,   95.7805,   97.9978,
    33.550,   95.7623,   97.9580,
    33.600,   95.7515,   97.9381,
    33.650,   95.7464,   97.9679,
    33.700,   95.7630,   97.9863,
    33.750,   95.8213,   98.0287,
    33.800,   95.8625,   98.0425,
    33.850,   95.8883,   98.0734,
    33.900,   95.8823,   98.0331,
    33.950,   95.9099,   98.0700,
    34.000,   95.8763,   98.0040,
    34.050,   95.8506,   98.0175,
    34.100,   95.8267,   98.0362,
    34.150,   95.7953,   98.0117,
    34.200,   95.7682,   98.0004,
    34.250,   95.7457,   97.9826,
    34.300,   95.7437,   97.9890,
    34.350,   95.7812,   98.0160,
    34.400,   95.8170,   98.0340,
    34.450,   95.8214,   98.0008,
    34.500,   95.7976,   98.0307,
    34.550,   95.7725,   97.9903,
    34.600,   95.7483,   97.9455,
    34.650,   95.7345,   97.9464,
    34.700,   95.7258,   97.9905,
    34.750,   95.7157,   97.9680,
    34.800,   95.7087,   97.9600,
    34.850,   95.7030,   97.9517,
    34.900,   95.6968,   97.9369,
    34.950,   95.6925,   97.9443,
    35.000,   95.6885,   97.9861,
    35.050,   95.6847,   97.9990,
    35.100,   95.6817,   97.9644,
    35.150,   95.6783,   97.9750,
    35.200,   95.6757,   97.9974,
    35.250,   95.6768,   97.9938,
    35.300,   95.6823,   97.9560,
    35.350,   95.6868,   98.0006,
    35.400,   95.6871,   98.0018,
    35.450,   95.6853,   98.0277,
    35.500,   95.6843,   98.0463,
    35.550,   95.6822,   98.0826,
    35.600,   95.6804,   98.1423,
    35.650,   95.6777,   98.1318,
    35.700,   95.6731,   98.1713,
    35.750,   95.6692,   98.1621,
    35.800,   95.6676,   98.1381,
    35.850,   95.6666,   98.1458,
    35.900,   95.6643,   98.1321,
    35.950,   95.6595,   98.1523,
    36.000,   95.6543,   98.1280,
    36.050,   95.6492,   98.1051,
    36.100,   95.6452,   98.0916,
    36.150,   95.6423,   98.0714,
    36.200,   95.6396,   98.0640,
    36.250,   95.6379,   98.0497,
    36.300,   95.6379,   98.0458,
    36.350,   95.6394,   98.0521,
    36.400,   95.6410,   98.0595,
    36.450,   95.6416,   98.0723,
    36.500,   95.6407,   98.0733,
    36.550,   95.6388,   98.0930,
    36.600,   95.6351,   98.0688,
    36.650,   95.6304,   98.0458,
    36.700,   95.6263,   98.0358,
    36.750,   95.6227,   98.0075,
    36.800,   95.6204,   97.9975,
    36.850,   95.6169,   97.9935,
    36.900,   95.6119,   97.9799,
    36.950,   95.6057,   97.9825,
    37.000,   95.6007,   97.9952,
    37.050,   95.5947,   97.9858,
    37.100,   95.5892,   97.9826,
    37.150,   95.5840,   97.9822,
    37.200,   95.5813,   97.9933,
    37.250,   95.5800,   97.9882,
    37.300,   95.5799,   97.9917,
    37.350,   95.5821,   98.0000,
    37.400,   95.5866,   98.0221,
    37.450,   95.5899,   98.0664,
    37.500,   95.5901,   98.0636,
    37.550,   95.5886,   98.0763,
    37.600,   95.5874,   98.0621,
    37.650,   95.5862,   98.0784,
    37.700,   95.5884,   98.1068,
    37.750,   95.5921,   98.0698,
    37.800,   95.5945,   98.1168,
    37.850,   95.5960,   98.1189,
    37.900,   95.5966,   98.1295,
    37.950,   95.5955,   98.1625,
    38.000,   95.5956,   98.1519,
    38.050,   95.5915,   98.1442,
    38.100,   95.5882,   98.1311,
    38.150,   95.5825,   98.1363,
    38.200,   95.5802,   98.1345,
    38.250,   95.5825,   98.1196,
    38.300,   95.5890,   98.1169,
    38.350,   95.5971,   98.1678,
    38.400,   95.6028,   98.2010,
    38.450,   95.6028,   98.2039,
    38.500,   95.5996,   98.2000,
    38.550,   95.5941,   98.1940,
    38.600,   95.5878,   98.1966,
    38.650,   95.5813,   98.2039,
    38.700,   95.5779,   98.2535,
    38.750,   95.5763,   98.2419,
    38.800,   95.5755,   98.1907,
    38.850,   95.5724,   98.1896,
    38.900,   95.5694,   98.1706,
