$Branch 1 water balance flow
 
JDAY,QDT,
 778.000, -78.341,
 779.000, -85.972,
 780.000, -78.979,
 781.000, -74.100,
 782.000, -53.752,
 783.000, -26.667,
 784.000,  -5.603,
 785.000,  23.583,
 786.000,  21.296,
 787.000,   7.596,
 788.000,   0.617,
 789.000,  -8.594,
 790.000,  -5.818,
 791.000,   5.091,
 792.000,  12.775,
 793.000,  11.956,
 794.000,   3.154,
 795.000,  -2.388,
 796.000,  -6.026,
 797.000,  -6.026,
 798.000,   6.003,
 799.000,  19.972,
 800.000,  19.972,
 801.000,  19.972,
 802.000,   5.745,
 803.000,  -8.224,
 804.000,  -7.774,
 805.000,  -3.675,
 806.000,  12.476,
 807.000,  12.476,
 808.000,   8.856,
 809.000,   4.757,
 810.000,  -3.171,
 811.000,  -0.191,
 812.000,   5.446,
 813.000,  12.900,
 814.000,  12.900,
 815.000,   0.888,
 816.000, -10.844,
 817.000, -24.066,
 818.000, -23.909,
 819.000, -12.189,
 820.000,  -2.923,
 821.000,   2.845,
 822.000,   2.688,
 823.000,  -1.095,
 824.000,  -1.095,
 825.000,  -1.095,
 826.000,  -1.095,
 827.000,  14.956,
 828.000,  14.956,
 829.000,   6.291,
 830.000,  -1.943,
 831.000, -20.914,
 832.000, -24.798,
 833.000, -15.730,
 834.000,  -7.496,
 835.000,  -3.481,
 836.000,  -3.307,
 837.000,  -6.342,
 838.000,  -7.485,
 839.000,  -4.761,
 840.000,   4.624,
 841.000,   6.276,
 842.000,   3.319,
 843.000,  -6.967,
 844.000, -11.961,
 845.000,  -9.015,
 846.000,  -5.160,
 847.000,   3.400,
 848.000,   2.721,
 849.000,   0.754,
 850.000,   0.999,
 851.000,   0.000,
 852.000,   0.196,
 853.000,   0.601,
 854.000,   0.717,
 855.000,   0.717,
 856.000,   0.521,
 857.000,   1.407,
 858.000,   6.659,
 859.000,   5.683,
 860.000,   5.683,
 861.000,   5.559,
 862.000,  15.364,
 863.000,  23.451,
 864.000,  29.448,
 865.000,  36.454,
 866.000,  20.410,
 867.000,  12.117,
 868.000,   6.120,
 869.000,  -2.051,
 870.000,  -1.181,
 871.000,  -0.057,
 872.000,  -0.057,
 873.000,  -0.057,
 874.000,  -0.057,
 875.000,  -2.794,
 876.000,  -4.761,
 877.000,  -7.964,
 878.000,  -6.742,
 879.000,  -0.495,
 880.000,  16.010,
 881.000,  19.214,
 882.000,  14.723,
 883.000,   8.277,
 884.000,  -6.260,
 885.000,  -9.181,
 886.000,  -5.913,
 887.000,  -2.921,
 888.000,   0.961,
 889.000,   9.069,
 890.000,   9.906,
 891.000,   9.884,
 892.000,  -7.064,
 893.000, -20.557,
 894.000, -29.573,
 895.000, -29.599,
 896.000, -19.585,
 897.000,  -9.458,
 898.000,  -3.310,
 899.000,  -3.261,
 900.000,  -0.209,
 901.000,   0.830,
 902.000,   2.860,
 903.000,  -3.196,
 904.000,  -6.289,
 905.000,  -7.709,
 906.000,  -7.709,
 907.000,  -4.230,
 908.000,  -9.428,
 909.000, -15.925,
 910.000, -18.837,
 911.000, -15.932,
 912.000,  -7.641,
 913.000,  -3.392,
 914.000,  -4.591,
 915.000,  -4.918,
 916.000,  -4.918,
 917.000,  -5.795,
 918.000,  -1.685,
 919.000,  -1.685,
 920.000,   1.897,
 921.000,   3.582,
 922.000,  -2.927,
 923.000,  -5.982,
 924.000, -10.646,
 925.000, -21.145,
 926.000, -16.242,
 927.000, -12.462,
 928.000, -14.063,
 929.000,  -7.600,
 930.000,  -6.334,
 931.000,  -7.058,
 932.000,  -3.777,
 933.000,   0.056,
 934.000,  -6.604,
 935.000, -15.314,
 936.000, -18.368,
 937.000, -18.165,
 938.000,  -7.760,
 939.000,   0.950,
 940.000,   3.406,
 941.000,  -1.281,
 942.000, -11.866,
 943.000, -11.866,
 944.000, -12.289,
 945.000,  -7.602,
 946.000,  -4.772,
 947.000,  -5.221,
 948.000,  -4.448,
 949.000,  -4.448,
 950.000,  -2.822,
 951.000,  -2.374,
 952.000,  -1.651,
 953.000,  -1.651,
 954.000,   1.074,
 955.000,  -0.808,
 956.000,  -7.791,
 957.000,  -9.340,
 958.000, -13.869,
 959.000, -11.701,
 960.000,  -0.109,
 961.000,   1.440,
 962.000,   3.266,
 963.000,   3.092,
 964.000,  -3.871,
 965.000,  -2.471,
 966.000,   1.490,
 967.000,   1.377,
 968.000,   2.658,
 969.000,  -5.233,
 970.000,  -6.491,
 971.000, -10.542,
 972.000, -10.542,
 973.000,  -4.051,
 974.000,  -1.184,
 975.000,   2.866,
 976.000,   2.866,
 977.000,   2.866,
 978.000,  -3.914,
 979.000,  -3.659,
 980.000,  -3.659,
 981.000,  -3.659,
 982.000,   0.254,
 983.000,   0.260,
 984.000,  -0.315,
 985.000,  -1.418,
 986.000,  -1.418,
 987.000,  -1.678,
 988.000,  -2.952,
 989.000,  -1.849,
 990.000,  -1.403,
 991.000,  -1.403,
 992.000,   4.519,
 993.000,   5.584,
 994.000,   5.138,
 995.000,  -6.222,
 996.000, -10.295,
 997.000, -10.853,
 998.000, -11.315,
 999.000,  -1.491,
1000.000,  -5.127,
1001.000,  -2.506,
1002.000,  -2.044,
1003.000,  -0.642,
1004.000,   2.993,
1005.000,  -0.134,
1006.000,  -0.134,
1007.000,  -1.220,
1008.000,   0.439,
1009.000,  -0.378,
1010.000,  -0.378,
1011.000,   1.283,
1012.000,  -4.657,
1013.000,  -2.040,
1014.000,  -2.040,
1015.000,   2.143,
1016.000,   5.981,
1017.000,   2.791,
1018.000,  -4.074,
1019.000, -11.655,
1020.000, -11.326,
1021.000, -14.602,
1022.000,  -7.480,
1023.000,  -3.866,
1024.000,  -0.548,
1025.000,   4.116,
1026.000,   4.676,
1027.000,   2.936,
1028.000,  -0.266,
1029.000,  -0.081,
1030.000,  -1.312,
1031.000,  -0.377,
1032.000,  -6.738,
1033.000, -11.766,
1034.000,  -8.742,
1035.000,  -9.246,
1036.000,  -2.885,
1037.000,   1.958,
1038.000,  -2.738,
1039.000,  -6.282,
1040.000, -13.216,
1041.000, -11.624,
1042.000,  -7.157,
1043.000,  -4.126,
1044.000,  -0.232,
1045.000,  -3.098,
1046.000,  -5.479,
1047.000,  -4.315,
1048.000,  -8.815,
1049.000,  -8.551,
1050.000, -11.385,
1051.000,  -9.866,
1052.000,  -2.325,
1053.000,   1.904,
1054.000,   4.738,
1055.000,   3.042,
1056.000,   3.128,
1057.000,  -1.010,
1058.000,  -0.986,
1059.000,  -2.985,
1060.000,  -3.071,
1061.000,  -2.153,
1062.000,  -5.978,
1063.000,  -3.802,
1064.000,  -3.505,
1065.000,  -0.358,
1066.000,   3.444,
1067.000,  11.191,
1068.000,  12.629,
1069.000,   8.666,
1070.000,   8.666,
1071.000,  -2.204,
1072.000, -12.096,
1073.000, -11.280,
1074.000, -11.280,
1075.000, -16.998,
1076.000,  -8.841,
1077.000,  -8.841,
1078.000,  -8.841,
1079.000,   5.534,
1080.000,   5.534,
1081.000,   5.534,
1082.000,   2.141,
1083.000,  -9.632,
1084.000,  -9.632,
1085.000, -10.689,
1086.000,  -6.693,
1087.000,  -0.454,
1088.000,  -1.790,
1089.000,  -0.733,
1090.000,  -3.124,
1091.000,  -3.124,
1092.000,  -8.343,
1093.000,  -8.343,
1094.000,  -6.554,
1095.000,  -6.554,
1096.000,   2.666,
1097.000,   2.666,
1098.000,  -3.964,
1099.000, -12.083,
1100.000, -12.554,
1101.000, -12.554,
1102.000,  -5.924,
1103.000,   0.618,
1104.000,  -1.577,
1105.000,  -1.577,
1106.000,   1.877,
1107.000,   5.065,
1108.000,   5.065,
1109.000,   5.065,
1110.000,   1.611,
1111.000,   0.000,
1112.000,  -7.000,
1113.000,  -7.000,
1114.000,  -6.240,
1115.000,  -6.559,
1116.000,  -4.596,
1117.000,  -4.596,
1118.000,  -6.422,
1119.000,  -6.103,
1120.000,   2.772,
1121.000,   2.772,
1122.000,   3.838,
1123.000,   3.838,
1124.000,   0.000,
1125.000,  -2.330,
1126.000,  -2.330,
1127.000,   0.522,
1128.000,   0.522,
1129.000,   2.852,
1130.000,  -3.132,
1131.000, -12.839,
1132.000, -22.986,
1133.000, -22.986,
1134.000, -17.002,
1135.000, -10.147,
1136.000,   5.033,
1137.000,   8.077,
1138.000,   8.077,
1139.000,  12.495,
1140.000,  12.509,
1141.000,   9.464,
1142.000,   9.464,
1143.000,  15.662,
1144.000,  10.616,
1145.000,   0.938,
1146.000,   0.938,
1147.000, -12.946,
1148.000,  -8.959,
1149.000,  16.368,
1150.000,  16.368,
1151.000,  19.636,
1152.000,  15.649,
1153.000,  -4.586,
1154.000,  -4.586,
1155.000,  -4.586,
1156.000,  -2.759,
1157.000,   5.080,
1158.000,   5.080,
1159.000,  -0.576,
1160.000,  -2.403,
1161.000,  -7.887,
1162.000, -10.942,
1163.000,  -5.286,
1164.000,   5.065,
1165.000,   7.296,
1166.000,  10.351,
1167.000,   7.749,
1168.000,  -2.602,
1169.000,  -2.602,
1170.000,  -5.504,
1171.000,  -5.210,
1172.000,  -7.348,
1173.000,  -9.952,
1174.000,  -8.437,
1175.000,  -6.128,
1176.000,  -6.126,
1177.000,  -6.925,
1178.000,  -5.538,
1179.000,  -5.538,
1180.000,  -3.402,
1181.000,  -6.961,
1182.000,  -8.840,
1183.000,  -8.840,
1184.000,  -8.840,
1185.000,  -1.879,
