$Grand Coulee Dam Outflow Constituents
 
JDAY,      N2,      DO,
    34.100, 20.37    , 12.38    ,
    34.150, 20.38    , 12.39    ,
    34.200, 20.40    , 12.41    ,
    34.250, 20.41    , 12.42    ,
    34.300, 20.41    , 12.41    ,
    34.350, 20.41    , 12.42    ,
    34.400, 20.41    , 12.43    ,
    34.450, 20.41    , 12.42    ,
    34.500, 20.42    , 12.43    ,
    34.550, 20.43    , 12.44    ,
    34.600, 20.45    , 12.46    ,
    34.650, 20.46    , 12.47    ,
    34.700, 20.48    , 12.48    ,
    34.750, 20.49    , 12.50    ,
    34.800, 20.49    , 12.50    ,
    34.850, 20.46    , 12.47    ,
    34.900, 20.43    , 12.43    ,
    34.950, 20.40    , 12.40    ,
    35.000, 20.37    , 12.37    ,
    35.050, 20.43    , 12.43    ,
    35.100, 20.41    , 12.41    ,
    35.150, 20.40    , 12.40    ,
    35.200, 20.43    , 12.43    ,
    35.250, 20.47    , 12.48    ,
    35.300, 20.50    , 12.51    ,
    35.350, 20.50    , 12.50    ,
    35.400, 20.49    , 12.49    ,
    35.450, 20.48    , 12.48    ,
    35.500, 20.49    , 12.49    ,
    35.550, 20.49    , 12.49    ,
    35.600, 20.51    , 12.51    ,
    35.650, 20.50    , 12.50    ,
    35.700, 20.54    , 12.54    ,
    35.750, 20.55    , 12.55    ,
    35.800, 20.50    , 12.49    ,
    35.850, 20.42    , 12.42    ,
    35.900, 20.27    , 12.26    ,
    35.950, 20.22    , 12.20    ,
    36.000, 20.22    , 12.20    ,
    36.050, 20.23    , 12.22    ,
    36.100, 20.24    , 12.23    ,
    36.150, 20.27    , 12.26    ,
    36.200, 20.27    , 12.26    ,
    36.250, 20.38    , 12.38    ,
    36.300, 20.45    , 12.44    ,
    36.350, 20.48    , 12.47    ,
    36.400, 20.47    , 12.46    ,
    36.450, 20.46    , 12.46    ,
    36.500, 20.46    , 12.45    ,
    36.550, 20.44    , 12.44    ,
    36.600, 20.43    , 12.43    ,
    36.650, 20.45    , 12.44    ,
    36.700, 20.47    , 12.47    ,
    36.750, 20.49    , 12.48    ,
    36.800, 20.48    , 12.47    ,
    36.850, 20.46    , 12.45    ,
    36.900, 20.45    , 12.44    ,
    36.950, 20.44    , 12.43    ,
    37.000, 20.44    , 12.43    ,
    37.050, 20.44    , 12.43    ,
    37.100, 20.43    , 12.42    ,
    37.150, 20.44    , 12.43    ,
    37.200, 20.45    , 12.44    ,
    37.250, 20.45    , 12.44    ,
    37.300, 20.46    , 12.45    ,
