$Grand Coulee Dam Flows
 
JDAY,QWO,
    37.000,   2422.53,
    37.050,   2341.26,
    37.100,   2111.15,
    37.150,   1942.87,
    37.200,   2336.38,
    37.250,   2393.08,
    37.300,   2614.91,
    37.350,   3512.87,
    37.400,   4191.86,
    37.450,   3897.31,
    37.500,   3141.40,
    37.550,   2504.41,
    37.600,   2726.02,
    37.650,   2846.53,
    37.700,   3630.68,
    37.750,   4228.27,
    37.800,   4323.18,
    37.850,   3489.15,
    37.900,   3037.95,
    37.950,   2356.63,
    38.000,   1600.90,
    38.050,   1397.25,
    38.100,   1288.91,
    38.150,   1178.81,
    38.200,   1856.96,
    38.250,   3089.47,
    38.300,   4796.83,
    38.350,   4783.86,
    38.400,   4612.33,
    38.450,   4018.88,
    38.500,   3443.58,
    38.550,   2965.90,
    38.600,   2663.29,
    38.650,   2685.10,
    38.700,   3530.83,
    38.750,   4472.59,
    38.800,   4737.27,
    38.850,   4052.17,
    38.900,   3422.99,
    38.950,   2687.54,
    39.000,   2171.95,
    39.050,   2133.14,
    39.100,   2288.34,
    39.150,   2538.50,
    39.200,   3241.38,
    39.250,   4238.25,
    39.300,   4473.94,
    39.350,   4826.27,
    39.400,   4777.01,
    39.450,   4541.59,
    39.500,   4239.60,
    39.550,   3883.98,
    39.600,   4009.91,
    39.650,   3866.52,
    39.700,   4111.08,
    39.750,   4819.93,
    39.800,   5137.75,
    39.850,   5011.71,
    39.900,   4605.13,
    39.950,   4516.78,
    40.000,   4006.98,
    40.050,   3983.34,
    40.100,   3988.15,
    40.150,   4054.79,
    40.200,   4267.39,
    40.250,   4871.72,
    40.300,   5030.51,
    40.350,   4960.09,
    40.400,   4607.79,
    40.450,   4534.25,
    40.500,   4752.94,
    40.550,   4702.61,
    40.600,   4685.54,
    40.650,   4583.10,
    40.700,   4543.71,
    40.750,   4479.96,
    40.800,   4563.06,
    40.850,   4569.45,
    40.900,   4372.93,
    40.950,   4307.55,
    41.000,   4544.81,
