$LGS.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
41640,542.232887,
41641,542.262887,
41642,542.302887,
41643,542.222887,
41644,542.162887,
41645,542.572887,
41646,542.262887,
41647,542.092887,
41648,541.852887,
41649,541.802887,
41650,541.772887,
41651,541.802887,
41652,542.172887,
41653,542.172887,
41654,542.222887,
41655,542.192887,
41656,542.212887,
41657,542.172887,
41658,542.182887,
41659,542.192887,
41660,542.212887,
41661,542.242887,
41662,542.122887,
41663,542.152887,
41664,542.102887,
41665,542.052887,
41666,541.942887,
41667,542.102887,
41668,542.032887,
41669,542.012887,
41670,542.082887,
41671,542.192887,
41672,542.212887,
41673,542.142887,
41674,542.162887,
41675,541.622887,
41676,542.042887,
41677,542.272887,
41678,542.052887,
41679,542.382887,
41680,542.312887,
41681,542.352887,
41682,542.332887,
41683,542.052887,
41684,542.522887,
41685,542.422887,
41686,542.212887,
41687,542.512887,
41688,542.492887,
41689,542.582887,
41690,542.462887,
41691,542.252887,
41692,542.202887,
41693,542.262887,
41694,542.132887,
41695,541.932887,
41696,542.082887,
41697,542.092887,
41698,542.102887,
41699,542.012887,
41700,542.912887,
41701,542.872887,
41702,541.982887,
41703,542.232887,
41704,542.132887,
41705,542.112887,
41706,541.892887,
41707,541.702887,
41708,541.762887,
41709,541.972887,
41710,541.712887,
41711,541.152887,
41712,541.132887,
41713,541.302887,
41714,541.422887,
41715,541.632887,
41716,541.772887,
41717,541.712887,
41718,541.362887,
41719,541.472887,
41720,541.582887,
41721,541.512887,
41722,541.392887,
41723,541.272887,
41724,541.892887,
41725,541.972887,
41726,541.922887,
41727,541.422887,
41728,541.242887,
41729,541.072887,
41730,541.372887,
41731,541.232887,
41732,540.822887,
41733,540.742887,
41734,540.662887,
41735,540.722887,
41736,540.712887,
41737,540.742887,
41738,540.702887,
41739,540.702887,
41740,540.712887,
41741,540.642887,
41742,540.682887,
41743,540.632887,
41744,540.712887,
41745,540.682887,
41746,540.672887,
41747,540.672887,
41748,540.722887,
41749,540.642887,
41750,540.692887,
41751,540.702887,
41752,540.642887,
41753,540.632887,
41754,540.662887,
41755,540.632887,
41756,540.732887,
41757,541.482887,
41758,542.132887,
41759,541.242887,
41760,540.632887,
41761,540.672887,
41762,540.692887,
41763,540.682887,
41764,540.652887,
41765,540.682887,
41766,540.632887,
41767,540.642887,
41768,540.612887,
41769,540.742887,
41770,540.792887,
41771,540.642887,
41772,540.462887,
41773,540.462887,
41774,540.582887,
41775,540.532887,
41776,540.802887,
41777,540.732887,
41778,541.302887,
41779,541.532887,
41780,541.492887,
41781,541.152887,
41782,541.242887,
41783,541.642887,
41784,542.292887,
41785,542.572887,
41786,542.742887,
41787,542.462887,
41788,542.352887,
41789,542.012887,
41790,542.022887,
41791,541.872887,
41792,541.762887,
41793,541.812887,
41794,541.532887,
41795,541.452887,
41796,541.272887,
41797,541.542887,
41798,541.272887,
41799,541.142887,
41800,541.352887,
41801,540.962887,
41802,540.722887,
41803,540.882887,
41804,540.672887,
41805,540.612887,
41806,540.582887,
41807,540.692887,
41808,540.622887,
41809,540.612887,
41810,540.552887,
41811,540.602887,
41812,540.612887,
41813,540.542887,
41814,540.522887,
41815,540.642887,
41816,540.462887,
41817,540.562887,
41818,540.472887,
41819,540.632887,
41820,540.402887,
41821,540.592887,
41822,540.592887,
41823,540.552887,
41824,540.452887,
41825,540.372887,
41826,540.322887,
41827,540.442887,
41828,540.322887,
41829,540.362887,
41830,540.292887,
41831,540.292887,
41832,540.272887,
41833,540.472887,
41834,540.162887,
41835,540.032887,
41836,540.292887,
41837,540.262887,
41838,540.492887,
41839,540.322887,
41840,540.542887,
41841,540.432887,
41842,540.322887,
41843,540.342887,
41844,540.402887,
41845,540.432887,
41846,540.072887,
41847,540.212887,
41848,540.252887,
41849,540.402887,
41850,540.202887,
41851,540.212887,
41852,540.392887,
41853,540.372887,
41854,540.082887,
41855,540.132887,
41856,540.152887,
41857,540.242887,
41858,540.562887,
41859,540.292887,
41860,540.322887,
41861,540.392887,
41862,540.382887,
41863,540.532887,
41864,540.132887,
41865,540.332887,
41866,540.372887,
41867,540.212887,
41868,540.212887,
41869,540.412887,
41870,540.182887,
41871,540.042887,
41872,540.202887,
41873,540.382887,
41874,540.442887,
41875,540.232887,
41876,540.262887,
41877,540.672887,
41878,540.322887,
41879,540.552887,
41880,540.622887,
41881,540.552887,
41882,540.542887,
41883,540.562887,
41884,540.802887,
41885,542.292887,
41886,542.612887,
41887,542.722887,
41888,542.762887,
41889,542.422887,
41890,542.432887,
41891,542.672887,
41892,542.562887,
41893,542.222887,
41894,542.132887,
41895,542.072887,
41896,542.132887,
41897,542.342887,
41898,542.112887,
41899,541.712887,
41900,541.742887,
41901,541.702887,
41902,541.532887,
41903,541.032887,
41904,540.352887,
41905,541.842887,
41906,542.002887,
41907,540.942887,
41908,540.512887,
41909,540.752887,
41910,541.142887,
41911,541.232887,
41912,541.302887,
41913,541.532887,
41914,541.662887,
41915,541.822887,
41916,541.772887,
41917,541.982887,
41918,542.272887,
41919,542.282887,
41920,542.202887,
41921,542.242887,
41922,542.342887,
41923,542.402887,
41924,542.432887,
41925,542.332887,
41926,542.202887,
41927,542.202887,
41928,542.392887,
41929,542.392887,
41930,542.182887,
41931,542.192887,
41932,542.272887,
41933,542.202887,
41934,542.162887,
41935,542.182887,
41936,542.232887,
41937,542.132887,
41938,541.942887,
41939,542.272887,
41940,541.872887,
41941,542.052887,
41942,542.322887,
41943,542.202887,
41944,542.242887,
41945,542.412887,
41946,542.462887,
41947,542.422887,
41948,542.342887,
