$ LITTLE GOOSE-POOLELEV.npt based on $//LITTLE GOOSE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42000,195.166
42001,195.12
42002,195.021
42003,195.003
42004,195.145
42005,195.163
42006,195.166
42007,195.137
42008,194.961
42009,194.909
42010,194.837
42011,195.106
42012,195.185
42013,195.144
42014,195.049
42015,195.068
42016,195.154
42017,195.052
42018,195.004
42019,194.923
42020,194.946
42021,194.932
42022,195.092
42023,195.164
42024,195.178
42025,195.205
42026,195.221
42027,195.143
42028,195.049
42029,195.024
42030,195.006
42031,195.052
42032,194.969
42033,194.866
42034,194.961
42035,194.98
42036,194.773
42037,194.796
42038,194.687
42039,194.653
42040,194.561
42041,194.645
42042,194.432
42043,194.426
42044,194.309
42045,194.517
42046,194.725
42047,195.008
42048,195.023
42049,195.251
42050,195.109
42051,194.948
42052,194.827
42053,194.72
42054,194.672
42055,194.743
42056,194.69
42057,194.723
42058,194.608
42059,194.606
42060,194.454
42061,194.471
42062,194.434
42063,194.777
42064,195.019
42065,194.948
42066,194.9
42067,195.047
42068,195.007
42069,195.131
42070,195.04
42071,194.992
42072,194.966
42073,194.85
42074,194.853
42075,194.819
42076,194.813
42077,194.706
42078,194.63
42079,194.615
42080,194.691
42081,194.962
42082,195.093
42083,195.13
42084,195.115
42085,194.898
42086,194.77
42087,194.712
42088,194.752
42089,194.557
42090,194.511
42091,194.481
42092,194.63
42093,194.627
42094,194.557
42095,194.542
42096,194.301
42097,194.56
42098,194.615
42099,194.054
42100,194.103
42101,193.993
42102,194.033
42103,194.091
42104,194.054
42105,194.06
42106,194.069
42107,194.048
42108,194.014
42109,194.075
42110,194.066
42111,194.06
42112,194.158
42113,194.188
42114,194.225
42115,194.246
42116,194.115
42117,194.048
42118,194.103
42119,194.054
42120,194.054
42121,194.024
42122,194.033
42123,194.054
42124,194.036
42125,194.075
42126,194.072
42127,194.085
42128,194.063
42129,194.072
42130,194.014
