$ QGT_LGS_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LGS_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LITTLE GOOSE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40565, 40952, 41182, 41731, 41865, 42153, 42296 that are  2, 2, 2, 2, 7, 3, 34 days long
"JDAY","POW","SPB1TSW1","SPB1TSW2","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
234.000000,589.974,168.933,43.705,0,0,0,0,0,43.705,168.933,14.603
235.000000,616.961,164.372,42.549,0,0,0,0,0,60.081,164.372,10.4
236.000000,643.366,174.062,45.062,0,0,0,0,0,60.028,174.062,16.987
237.000000,612.586,155.468,40.221,0,0,0,0,0,70.533,155.468,12.129
238.000000,622.525,176.7,40.021,0,0,0,0,0,53.638,176.7,14.419
239.000000,657.221,184.553,47.769,0,0,0,0,0,55.539,184.553,18.308
240.000000,588.465,188.95,34.461,0,0,0,0,0,34.801,188.95,13.043
241.000000,550.781,160.471,41.534,0,0,0,0,0,41.534,160.471,9.402
242.000000,589.685,162.447,42.044,0,0,0,0,0,52.663,162.447,13.674
243.000000,587.858,162.143,36.867,0,0,0,0,0,57.764,162.143,13.103
244.000000,827.277,91.627,0,0,0,0,0,0,0.376,91.627,15.762
245.000000,990.883,0,0,0,0,0,0,0,0,0,27.014
246.000000,938.139,0,0,0,0,0,0,0,0,0,16.704
247.000000,750.132,0,0,0,0,0,0,0,0,0,13.325
248.000000,793.073,0,0,0,0,0,0,0,0,0,12.557
249.000000,872.448,0,0,0,0,0,0,0,0,0,11.326
250.000000,1000.647,0,0,0,0,0,0,0,0,0,18.231
251.000000,1042.059,0,0,0,0,0,0,0,0,0,18.491
252.000000,992.982,0,0,0,0,0,0,0,0,0,12.825
253.000000,1078.671,0,0,0,0,0,0,0,0,0,14.078
254.000000,1088.45,0,0,0,0,0,0,0,0,0,16.958
255.000000,1142.626,0,0,0,0,0,0,0,0,0,12.249
256.000000,963.071,0,0,0,0,0,0,0,0,0,17.33
257.000000,1037.056,0,0,0,0,0,0,0,0,0,17.844
258.000000,1120.207,0,0,0,0,0,0,0,0,0,16.8
259.000000,1027.043,0,0,0,0,0,0,0,0,0,11.96
260.000000,1141.951,0,0,0,0,0,0,0,0,0,13.648
261.000000,1090.058,0,0,0,0,0,0,0,0,0,14.176
262.000000,1122.36,0,0,0,0,0,0,0,0,0,17.371
263.000000,1126.435,0,0,0,0,0,0,0,0,0,24.086
264.000000,1040.772,0,0,0,0,0,0,0,0,0,23.374
265.000000,924.52,0,0,0,0,0,0,0,0,0,18.942
